ETH,BTC
2015-08-09-12-00,0.002581
2015-08-10-12-00,0.002645
2015-08-11-12-00,0.00395
2015-08-12-12-00,0.0045
2015-08-13-12-00,0.006955
2015-08-14-12-00,0.006831
2015-08-15-12-00,0.006377
2015-08-16-12-00,0.006415
2015-08-17-12-00,0.004747
