BTC, USD
2013-04-06-01-00, 141.234783
2013-04-06-02-00, 141.234783
2013-04-06-02-00, 141.946652
2013-04-06-03-00, 141.946652
2013-04-06-03-00, 142.001985
2013-04-06-04-00, 143.389341
2013-04-06-05-00, 142.999716
2013-04-06-06-00, 142.999716
2013-04-06-06-00, 141.990003
2013-04-06-07-00, 142.114283
2013-04-06-08-00, 142.114283
2013-04-06-08-00, 142.010000
2013-04-06-09-00, 141.809230
2013-04-06-10-00, 141.809230
2013-04-06-10-00, 141.500909
2013-04-06-11-00, 141.455024
2013-04-06-12-00, 141.538602
2013-04-06-13-00, 141.538602
2013-04-06-13-00, 143.452949
2013-04-06-14-00, 143.305424
2013-04-06-15-00, 143.305424
2013-04-06-15-00, 142.900432
2013-04-06-16-00, 142.900432
2013-04-06-16-00, 142.833058
2013-04-06-17-00, 142.842972
2013-04-06-18-00, 142.842972
2013-04-06-18-00, 143.000000
2013-04-06-19-00, 143.529875
2013-04-06-20-00, 143.106466
2013-04-06-21-00, 143.106466
2013-04-06-21-00, 142.872052
2013-04-06-22-00, 142.872052
2013-04-06-22-00, 143.460654
2013-04-06-23-00, 143.282369
2013-04-07-00-00, 143.282369
2013-04-07-00-00, 144.353355
2013-04-07-01-00, 144.230766
2013-04-07-02-00, 144.188240
2013-04-07-03-00, 144.188240
2013-04-07-03-00, 144.499887
2013-04-07-04-00, 144.458300
2013-04-07-05-00, 144.924341
2013-04-07-06-00, 145.124085
2013-04-07-07-00, 148.129748
2013-04-07-08-00, 148.451095
2013-04-07-09-00, 148.451095
2013-04-07-09-00, 149.215878
2013-04-07-10-00, 153.431025
2013-04-07-11-00, 153.431025
2013-04-07-11-00, 156.263501
2013-04-07-12-00, 156.077766
2013-04-07-13-00, 158.653553
2013-04-07-14-00, 156.149868
2013-04-07-15-00, 156.996828
2013-04-07-16-00, 156.996828
2013-04-07-16-00, 160.509753
2013-04-07-17-00, 160.509753
2013-04-07-17-00, 158.222136
2013-04-07-18-00, 161.499381
2013-04-07-19-00, 161.499381
2013-04-07-19-00, 163.282441
2013-04-07-20-00, 163.282441
2013-04-07-20-00, 161.424994
2013-04-07-21-00, 161.424994
2013-04-07-21-00, 162.478453
2013-04-07-22-00, 165.084114
2013-04-07-23-00, 171.869257
2013-04-08-00-00, 172.446027
2013-04-08-01-00, 172.446027
2013-04-08-01-00, 169.185533
2013-04-08-02-00, 169.356679
2013-04-08-03-00, 169.356679
2013-04-08-03-00, 173.326026
2013-04-08-04-00, 173.874843
2013-04-08-05-00, 173.874843
2013-04-08-05-00, 175.369203
2013-04-08-06-00, 175.369203
2013-04-08-06-00, 181.553267
2013-04-08-07-00, 185.093617
2013-04-08-08-00, 185.093617
2013-04-08-08-00, 182.539376
2013-04-08-09-00, 182.539376
2013-04-08-09-00, 183.537145
2013-04-08-10-00, 188.268927
2013-04-08-11-00, 188.268927
2013-04-08-11-00, 189.818627
2013-04-08-12-00, 190.868415
2013-04-08-13-00, 190.868415
2013-04-08-13-00, 186.273880
2013-04-08-14-00, 177.790522
2013-04-08-15-00, 182.555359
2013-04-08-16-00, 182.555359
2013-04-08-16-00, 185.824027
2013-04-08-17-00, 185.824027
2013-04-08-17-00, 188.148064
2013-04-08-18-00, 188.148064
2013-04-08-18-00, 191.040900
2013-04-08-19-00, 184.135664
2013-04-08-20-00, 188.827540
2013-04-08-21-00, 188.827540
2013-04-08-21-00, 185.217256
2013-04-08-22-00, 185.217256
2013-04-08-22-00, 191.643228
2013-04-08-23-00, 189.432262
2013-04-09-00-00, 189.432262
2013-04-09-00-00, 192.086623
2013-04-09-01-00, 192.183325
2013-04-09-02-00, 192.183325
2013-04-09-02-00, 192.642737
2013-04-09-03-00, 193.423770
2013-04-09-04-00, 193.423770
2013-04-09-04-00, 194.927526
2013-04-09-05-00, 190.695727
2013-04-09-06-00, 190.695727
2013-04-09-06-00, 192.887249
2013-04-09-07-00, 194.219910
2013-04-09-08-00, 194.219910
2013-04-09-08-00, 204.173210
2013-04-09-09-00, 206.880507
2013-04-09-10-00, 206.880507
2013-04-09-10-00, 207.406511
2013-04-09-11-00, 207.406511
2013-04-09-11-00, 207.122050
2013-04-09-12-00, 215.057312
2013-04-09-13-00, 215.057312
2013-04-09-13-00, 219.863254
2013-04-09-14-00, 219.863254
2013-04-09-14-00, 225.110599
2013-04-09-15-00, 225.110599
2013-04-09-15-00, 231.775141
2013-04-09-16-00, 236.066812
2013-04-09-17-00, 236.066812
2013-04-09-17-00, 233.018786
2013-04-09-18-00, 233.376266
2013-04-09-19-00, 233.376266
2013-04-09-19-00, 236.091400
2013-04-09-20-00, 236.091400
2013-04-09-20-00, 235.239794
2013-04-09-21-00, 231.231499
2013-04-09-22-00, 231.231499
2013-04-09-22-00, 231.477273
2013-04-09-23-00, 234.445494
2013-04-10-00-00, 234.445494
2013-04-10-00-00, 235.173444
2013-04-10-01-00, 234.196164
2013-04-10-02-00, 234.196164
2013-04-10-02-00, 233.131838
2013-04-10-03-00, 233.023784
2013-04-10-04-00, 233.023784
2013-04-10-04-00, 233.950000
2013-04-10-05-00, 237.298491
2013-04-10-06-00, 237.298491
2013-04-10-06-00, 235.828071
2013-04-10-07-00, 235.828071
2013-04-10-07-00, 252.022366
2013-04-10-08-00, 250.087279
2013-04-10-09-00, 250.087279
2013-04-10-09-00, 250.251744
2013-04-10-10-00, 263.430655
2013-04-10-11-00, 263.430655
2013-04-10-11-00, 255.436940
2013-04-10-12-00, 249.434821
2013-04-10-13-00, 249.434821
2013-04-10-13-00, 242.688063
2013-04-10-14-00, 242.688063
2013-04-10-14-00, 226.728120
2013-04-10-15-00, 226.728120
2013-04-10-15-00, 192.781304
2013-04-10-16-00, 182.035222
2013-04-10-17-00, 182.035222
2013-04-10-17-00, 158.899073
2013-04-10-18-00, 162.167935
2013-04-10-19-00, 162.167935
2013-04-10-19-00, 183.403947
2013-04-10-20-00, 183.403947
2013-04-10-20-00, 142.669448
2013-04-10-21-00, 142.669448
2013-04-10-21-00, 162.696287
2013-04-10-22-00, 180.597446
2013-04-10-23-00, 180.597446
2013-04-10-23-00, 173.618358
2013-04-11-00-00, 173.618358
2013-04-11-00-00, 158.087262
2013-04-11-01-00, 164.597405
2013-04-11-02-00, 164.597405
2013-04-11-02-00, 172.953624
2013-04-11-03-00, 172.953624
2013-04-11-03-00, 168.841572
2013-04-11-04-00, 181.069426
2013-04-11-05-00, 181.069426
2013-04-11-05-00, 180.555752
2013-04-11-06-00, 169.090755
2013-04-11-07-00, 156.498249
2013-04-11-08-00, 156.498249
2013-04-11-08-00, 148.358925
2013-04-11-09-00, 153.100783
2013-04-11-10-00, 153.100783
2013-04-11-10-00, 152.311931
2013-04-11-11-00, 125.829151
2013-04-11-12-00, 125.829151
2013-04-11-12-00, 128.887010
2013-04-11-13-00, 113.253718
2013-04-11-14-00, 120.813474
2013-04-11-15-00, 120.813474
2013-04-11-15-00, 102.154618
2013-04-11-16-00, 102.154618
2013-04-11-16-00, 96.053570
2013-04-11-17-00, 76.814150
2013-04-11-18-00, 76.814150
2013-04-11-18-00, 87.903265
2013-04-11-19-00, 87.903265
2013-04-11-19-00, 98.364153
2013-04-11-20-00, 99.242716
2013-04-11-21-00, 99.242716
2013-04-11-21-00, 97.284270
2013-04-11-22-00, 101.176610
2013-04-11-23-00, 101.176610
2013-04-11-23-00, 102.664607
2013-04-12-00-00, 105.571760
2013-04-12-01-00, 106.762415
2013-04-12-02-00, 106.762415
2013-04-12-02-00, 98.507857
2013-04-12-03-00, 98.647791
2013-04-12-04-00, 101.563429
2013-04-12-05-00, 101.563429
2013-04-12-05-00, 93.393532
2013-04-12-06-00, 93.393532
2013-04-12-06-00, 92.675129
2013-04-12-07-00, 92.675129
2013-04-12-07-00, 92.128458
2013-04-12-08-00, 80.086254
2013-04-12-09-00, 75.220359
2013-04-12-10-00, 75.220359
2013-04-12-10-00, 63.982206
2013-04-12-11-00, 63.982206
2013-04-12-11-00, 70.750686
2013-04-12-12-00, 77.190612
2013-04-12-13-00, 77.190612
2013-04-12-13-00, 72.218796
2013-04-12-14-00, 72.218796
2013-04-12-14-00, 71.241271
2013-04-12-15-00, 74.311053
2013-04-12-16-00, 74.311053
2013-04-12-16-00, 76.578673
2013-04-12-17-00, 82.465272
2013-04-12-18-00, 88.583443
2013-04-12-19-00, 88.583443
2013-04-12-19-00, 95.775452
2013-04-12-20-00, 95.775452
2013-04-12-20-00, 101.133682
2013-04-12-21-00, 101.133682
2013-04-12-21-00, 110.496216
2013-04-12-22-00, 110.496216
2013-04-12-22-00, 118.192775
2013-04-12-23-00, 112.717907
2013-04-13-00-00, 112.717907
2013-04-13-00-00, 105.332836
2013-04-13-01-00, 99.199854
2013-04-13-02-00, 99.199854
2013-04-13-02-00, 109.320099
2013-04-13-03-00, 109.493670
2013-04-13-04-00, 109.493670
2013-04-13-04-00, 109.152736
2013-04-13-05-00, 109.152736
2013-04-13-05-00, 118.007958
2013-04-13-06-00, 118.627119
2013-04-13-07-00, 115.196863
2013-04-13-08-00, 115.196863
2013-04-13-08-00, 115.143118
2013-04-13-09-00, 115.143118
2013-04-13-09-00, 116.966432
2013-04-13-10-00, 116.966432
2013-04-13-10-00, 115.587996
2013-04-13-11-00, 115.587996
2013-04-13-11-00, 115.319385
2013-04-13-12-00, 113.465263
2013-04-13-13-00, 114.773157
2013-04-13-14-00, 114.773157
2013-04-13-14-00, 114.516231
2013-04-13-15-00, 114.516231
2013-04-13-15-00, 113.361950
2013-04-13-16-00, 105.849068
2013-04-13-17-00, 105.849068
2013-04-13-17-00, 99.181494
2013-04-13-18-00, 96.056259
2013-04-13-19-00, 96.056259
2013-04-13-19-00, 94.866528
2013-04-13-20-00, 94.866528
2013-04-13-20-00, 100.790662
2013-04-13-21-00, 99.529640
2013-04-13-22-00, 99.529640
2013-04-13-22-00, 93.494220
2013-04-13-23-00, 93.494220
2013-04-13-23-00, 98.427416
2013-04-14-00-00, 90.444752
2013-04-14-01-00, 90.444752
2013-04-14-01-00, 101.131804
2013-04-14-02-00, 103.340689
2013-04-14-03-00, 105.656270
2013-04-14-04-00, 105.656270
2013-04-14-04-00, 102.179937
2013-04-14-05-00, 105.366767
2013-04-14-06-00, 105.366767
2013-04-14-06-00, 104.115722
2013-04-14-07-00, 104.115722
2013-04-14-07-00, 99.768368
2013-04-14-08-00, 99.768368
2013-04-14-08-00, 99.415595
2013-04-14-09-00, 103.749159
2013-04-14-10-00, 103.749159
2013-04-14-10-00, 100.599667
2013-04-14-11-00, 99.817329
2013-04-14-12-00, 99.817329
2013-04-14-12-00, 99.958657
2013-04-14-13-00, 100.325917
2013-04-14-14-00, 100.325917
2013-04-14-14-00, 100.121402
2013-04-14-15-00, 100.121402
2013-04-14-15-00, 99.520000
2013-04-14-16-00, 100.371200
2013-04-14-17-00, 100.371200
2013-04-14-17-00, 97.556882
2013-04-14-18-00, 95.147146
2013-04-14-19-00, 95.147146
2013-04-14-19-00, 96.197122
2013-04-14-20-00, 96.197122
2013-04-14-20-00, 94.169839
2013-04-14-21-00, 94.169839
2013-04-14-21-00, 87.815184
2013-04-14-22-00, 87.815184
2013-04-14-22-00, 90.697620
2013-04-14-23-00, 90.697620
2013-04-14-23-00, 94.194470
2013-04-15-00-00, 95.125977
2013-04-15-01-00, 95.125977
2013-04-15-01-00, 93.621816
2013-04-15-02-00, 93.525588
2013-04-15-03-00, 93.525588
2013-04-15-03-00, 96.169304
2013-04-15-04-00, 99.646515
2013-04-15-05-00, 99.737285
2013-04-15-06-00, 99.737285
2013-04-15-06-00, 99.004996
2013-04-15-07-00, 99.219563
2013-04-15-08-00, 99.219563
2013-04-15-08-00, 97.845902
2013-04-15-09-00, 97.845902
2013-04-15-09-00, 97.180070
2013-04-15-10-00, 96.609337
2013-04-15-11-00, 97.065406
2013-04-15-12-00, 97.065406
2013-04-15-12-00, 96.764150
2013-04-15-13-00, 96.764150
2013-04-15-13-00, 95.641506
2013-04-15-14-00, 93.925568
2013-04-15-15-00, 92.356448
2013-04-15-16-00, 92.356448
2013-04-15-16-00, 91.483797
2013-04-15-17-00, 90.779324
2013-04-15-18-00, 85.800981
2013-04-15-19-00, 81.027683
2013-04-15-20-00, 76.158509
2013-04-15-21-00, 81.206664
2013-04-15-22-00, 81.206664
2013-04-15-22-00, 80.099297
2013-04-15-23-00, 76.033740
2013-04-16-00-00, 76.033740
2013-04-16-00-00, 71.022902
2013-04-16-01-00, 66.912432
2013-04-16-02-00, 66.912432
2013-04-16-02-00, 62.823887
2013-04-16-03-00, 62.823887
2013-04-16-03-00, 64.726219
2013-04-16-04-00, 64.726219
2013-04-16-04-00, 59.247076
2013-04-16-05-00, 54.089895
2013-04-16-06-00, 54.089895
2013-04-16-06-00, 55.146018
2013-04-16-07-00, 55.146018
2013-04-16-07-00, 55.720165
2013-04-16-08-00, 62.147637
2013-04-16-09-00, 61.271237
2013-04-16-10-00, 61.271237
2013-04-16-10-00, 58.111112
2013-04-16-11-00, 58.111112
2013-04-16-11-00, 60.659026
2013-04-16-12-00, 62.855762
2013-04-16-13-00, 73.966704
2013-04-16-14-00, 73.966704
2013-04-16-14-00, 78.323196
2013-04-16-15-00, 73.869977
2013-04-16-16-00, 71.078640
2013-04-16-17-00, 71.078640
2013-04-16-17-00, 67.540219
2013-04-16-18-00, 67.710897
2013-04-16-19-00, 67.819551
2013-04-16-20-00, 67.819551
2013-04-16-20-00, 69.328126
2013-04-16-21-00, 69.328126
2013-04-16-21-00, 67.796145
2013-04-16-22-00, 67.796145
2013-04-16-22-00, 66.947310
2013-04-16-23-00, 65.755214
2013-04-17-00-00, 73.269512
2013-04-17-01-00, 73.269512
2013-04-17-01-00, 75.522940
2013-04-17-02-00, 73.160526
2013-04-17-03-00, 73.160526
2013-04-17-03-00, 73.608315
2013-04-17-04-00, 73.608315
2013-04-17-04-00, 75.998376
2013-04-17-05-00, 77.169672
2013-04-17-06-00, 77.169672
2013-04-17-06-00, 79.901245
2013-04-17-07-00, 83.048936
2013-04-17-08-00, 83.048936
2013-04-17-08-00, 84.456886
2013-04-17-09-00, 85.882684
2013-04-17-10-00, 84.739214
2013-04-17-11-00, 84.739214
2013-04-17-11-00, 89.223410
2013-04-17-12-00, 91.934169
2013-04-17-13-00, 91.934169
2013-04-17-13-00, 92.759614
2013-04-17-14-00, 90.861574
2013-04-17-15-00, 90.861574
2013-04-17-15-00, 86.709263
2013-04-17-16-00, 88.852007
2013-04-17-17-00, 88.852007
2013-04-17-17-00, 87.773733
2013-04-17-18-00, 90.676659
2013-04-17-19-00, 91.568159
2013-04-17-20-00, 91.568159
2013-04-17-20-00, 92.550007
2013-04-17-21-00, 92.550007
2013-04-17-21-00, 92.423836
2013-04-17-22-00, 94.521826
2013-04-17-23-00, 91.914216
2013-04-18-00-00, 91.914216
2013-04-18-00-00, 90.638700
2013-04-18-01-00, 90.638700
2013-04-18-01-00, 92.983040
2013-04-18-02-00, 92.437509
2013-04-18-03-00, 92.437509
2013-04-18-03-00, 91.573613
2013-04-18-04-00, 91.573613
2013-04-18-04-00, 92.206479
2013-04-18-05-00, 93.221650
2013-04-18-06-00, 93.221650
2013-04-18-06-00, 92.599000
2013-04-18-07-00, 92.514000
2013-04-18-08-00, 92.514000
2013-04-18-08-00, 91.705604
2013-04-18-09-00, 91.146859
2013-04-18-10-00, 91.146859
2013-04-18-10-00, 92.817848
2013-04-18-11-00, 92.778961
2013-04-18-12-00, 92.778961
2013-04-18-12-00, 93.784075
2013-04-18-13-00, 93.784075
2013-04-18-13-00, 94.485966
2013-04-18-14-00, 96.300508
2013-04-18-15-00, 96.155181
2013-04-18-16-00, 96.155181
2013-04-18-16-00, 95.565764
2013-04-18-17-00, 95.565764
2013-04-18-17-00, 96.398874
2013-04-18-18-00, 96.398874
2013-04-18-18-00, 95.369926
2013-04-18-19-00, 100.038179
2013-04-18-20-00, 100.949597
2013-04-18-21-00, 100.949597
2013-04-18-21-00, 108.529992
2013-04-18-22-00, 108.181258
2013-04-18-23-00, 108.181258
2013-04-18-23-00, 112.119926
2013-04-19-00-00, 115.414711
2013-04-19-01-00, 115.414711
2013-04-19-01-00, 115.249684
2013-04-19-02-00, 115.249684
2013-04-19-02-00, 116.929477
2013-04-19-03-00, 116.929477
2013-04-19-03-00, 120.304289
2013-04-19-04-00, 123.284007
2013-04-19-05-00, 128.477264
2013-04-19-06-00, 128.477264
2013-04-19-06-00, 132.467573
2013-04-19-07-00, 132.467573
2013-04-19-07-00, 118.508641
2013-04-19-08-00, 121.864807
2013-04-19-09-00, 118.398437
2013-04-19-10-00, 115.233687
2013-04-19-11-00, 115.233687
2013-04-19-11-00, 118.158819
2013-04-19-12-00, 115.874669
2013-04-19-13-00, 113.700359
2013-04-19-14-00, 118.886435
2013-04-19-15-00, 118.886435
2013-04-19-15-00, 120.458393
2013-04-19-16-00, 120.458393
2013-04-19-16-00, 117.903783
2013-04-19-17-00, 119.159060
2013-04-19-18-00, 118.864904
2013-04-19-19-00, 118.864904
2013-04-19-19-00, 122.074014
2013-04-19-20-00, 120.368971
2013-04-19-21-00, 118.660391
2013-04-19-22-00, 117.456205
2013-04-19-23-00, 117.456205
2013-04-19-23-00, 115.876622
2013-04-20-00-00, 115.876622
2013-04-20-00-00, 117.928506
2013-04-20-01-00, 116.532252
2013-04-20-02-00, 115.424216
2013-04-20-03-00, 115.424216
2013-04-20-03-00, 116.881649
2013-04-20-04-00, 116.881649
2013-04-20-04-00, 117.875693
2013-04-20-05-00, 117.875693
2013-04-20-05-00, 119.843703
2013-04-20-06-00, 120.226328
2013-04-20-07-00, 120.226328
2013-04-20-07-00, 120.367243
2013-04-20-08-00, 120.367243
2013-04-20-08-00, 119.162288
2013-04-20-09-00, 120.115525
2013-04-20-10-00, 120.115525
2013-04-20-10-00, 119.300000
2013-04-20-11-00, 121.040148
2013-04-20-12-00, 121.543967
2013-04-20-13-00, 121.391344
2013-04-20-14-00, 121.391344
2013-04-20-14-00, 123.831170
2013-04-20-15-00, 122.884031
2013-04-20-16-00, 122.884031
2013-04-20-16-00, 123.600359
2013-04-20-17-00, 126.373682
2013-04-20-18-00, 126.373682
2013-04-20-18-00, 125.576709
2013-04-20-19-00, 125.576709
2013-04-20-19-00, 127.531373
2013-04-20-20-00, 129.840839
2013-04-20-21-00, 129.840839
2013-04-20-21-00, 128.782534
2013-04-20-22-00, 128.225880
2013-04-20-23-00, 126.078029
2013-04-21-00-00, 126.078029
2013-04-21-00-00, 127.982250
2013-04-21-01-00, 127.982250
2013-04-21-01-00, 128.059865
2013-04-21-02-00, 126.850097
2013-04-21-03-00, 126.850097
2013-04-21-03-00, 124.892173
2013-04-21-04-00, 124.339625
2013-04-21-05-00, 124.339625
2013-04-21-05-00, 122.207362
2013-04-21-06-00, 119.226795
2013-04-21-07-00, 121.224989
2013-04-21-08-00, 121.224989
2013-04-21-08-00, 121.719561
2013-04-21-09-00, 121.719561
2013-04-21-09-00, 121.826265
2013-04-21-10-00, 123.679497
2013-04-21-11-00, 123.679497
2013-04-21-11-00, 126.968315
2013-04-21-12-00, 126.968315
2013-04-21-12-00, 125.088539
2013-04-21-13-00, 125.088539
2013-04-21-13-00, 124.500000
2013-04-21-14-00, 120.600552
2013-04-21-15-00, 113.115690
2013-04-21-16-00, 123.616293
2013-04-21-17-00, 123.616293
2013-04-21-17-00, 116.548450
2013-04-21-18-00, 124.284848
2013-04-21-19-00, 124.284848
2013-04-21-19-00, 123.344967
2013-04-21-20-00, 121.920001
2013-04-21-21-00, 121.920001
2013-04-21-21-00, 117.660227
2013-04-21-22-00, 117.660227
2013-04-21-22-00, 121.704385
2013-04-21-23-00, 120.961408
2013-04-22-00-00, 120.961408
2013-04-22-00-00, 121.747388
2013-04-22-01-00, 121.414350
2013-04-22-02-00, 121.414350
2013-04-22-02-00, 120.927577
2013-04-22-03-00, 122.881511
2013-04-22-04-00, 122.881511
2013-04-22-04-00, 122.082453
2013-04-22-05-00, 123.232326
2013-04-22-06-00, 123.778183
2013-04-22-07-00, 123.778183
2013-04-22-07-00, 122.384615
2013-04-22-08-00, 122.384615
2013-04-22-08-00, 123.000000
2013-04-22-09-00, 122.093498
2013-04-22-10-00, 122.093498
2013-04-22-10-00, 120.742832
2013-04-22-11-00, 120.742832
2013-04-22-11-00, 121.900000
2013-04-22-12-00, 122.051431
2013-04-22-13-00, 121.872858
2013-04-22-14-00, 123.306985
2013-04-22-15-00, 123.306985
2013-04-22-15-00, 122.743312
2013-04-22-16-00, 124.253379
2013-04-22-17-00, 125.419888
2013-04-22-18-00, 125.419888
2013-04-22-18-00, 125.189408
2013-04-22-19-00, 125.189408
2013-04-22-19-00, 126.315482
2013-04-22-20-00, 126.743196
2013-04-22-21-00, 126.398774
2013-04-22-22-00, 126.398774
2013-04-22-22-00, 127.155467
2013-04-22-23-00, 127.155467
2013-04-22-23-00, 126.909683
2013-04-23-00-00, 126.988578
2013-04-23-01-00, 127.657879
2013-04-23-02-00, 127.657879
2013-04-23-02-00, 128.023343
2013-04-23-03-00, 127.765425
2013-04-23-04-00, 127.210255
2013-04-23-05-00, 127.210255
2013-04-23-05-00, 127.569477
2013-04-23-06-00, 127.184024
2013-04-23-07-00, 126.894423
2013-04-23-08-00, 126.894423
2013-04-23-08-00, 127.404048
2013-04-23-09-00, 126.883812
2013-04-23-10-00, 126.883812
2013-04-23-10-00, 128.619734
2013-04-23-11-00, 132.452815
