BTC, ETC
2016-10-30-15-00, 0.001326
2016-10-30-16-00, 0.001299
2016-10-30-17-00, 0.001306
2016-10-30-18-00, 0.001301
2016-10-30-19-00, 0.001305
2016-10-30-20-00, 0.001302
2016-10-30-21-00, 0.001325
2016-10-30-22-00, 0.001306
2016-10-30-23-00, 0.001323
2016-10-31-00-00, 0.001324
2016-10-31-01-00, 0.001314
2016-10-31-02-00, 0.001335
2016-10-31-03-00, 0.001318
2016-10-31-04-00, 0.001314
2016-10-31-05-00, 0.001318
2016-10-31-06-00, 0.001311
2016-10-31-07-00, 0.001300
2016-10-31-08-00, 0.001304
2016-10-31-09-00, 0.001301
2016-10-31-10-00, 0.001302
2016-10-31-11-00, 0.001305
2016-10-31-12-00, 0.001296
2016-10-31-13-00, 0.001295
2016-10-31-14-00, 0.001291
2016-10-31-15-00, 0.001280
2016-10-31-16-00, 0.001261
2016-10-31-17-00, 0.001277
2016-10-31-18-00, 0.001291
2016-10-31-19-00, 0.001289
2016-10-31-20-00, 0.001281
2016-10-31-21-00, 0.001274
2016-10-31-22-00, 0.001277
2016-10-31-23-00, 0.001283
2016-11-01-00-00, 0.001285
2016-11-01-01-00, 0.001285
2016-11-01-02-00, 0.001265
2016-11-01-03-00, 0.001257
2016-11-01-04-00, 0.001251
2016-11-01-05-00, 0.001245
2016-11-01-06-00, 0.001245
2016-11-01-07-00, 0.001240
2016-11-01-08-00, 0.001224
2016-11-01-09-00, 0.001211
2016-11-01-10-00, 0.001206
2016-11-01-11-00, 0.001200
2016-11-01-12-00, 0.001190
2016-11-01-13-00, 0.001189
2016-11-01-14-00, 0.001203
2016-11-01-15-00, 0.001223
2016-11-01-16-00, 0.001228
2016-11-01-17-00, 0.001218
2016-11-01-18-00, 0.001208
2016-11-01-19-00, 0.001206
2016-11-01-20-00, 0.001202
2016-11-01-21-00, 0.001207
2016-11-01-22-00, 0.001200
2016-11-01-23-00, 0.001217
2016-11-02-00-00, 0.001213
2016-11-02-01-00, 0.001208
2016-11-02-02-00, 0.001216
2016-11-02-03-00, 0.001219
2016-11-02-04-00, 0.001217
2016-11-02-05-00, 0.001211
2016-11-02-06-00, 0.001209
2016-11-02-07-00, 0.001205
2016-11-02-08-00, 0.001210
2016-11-02-09-00, 0.001215
2016-11-02-10-00, 0.001208
2016-11-02-11-00, 0.001212
2016-11-02-12-00, 0.001211
2016-11-02-13-00, 0.001221
2016-11-02-14-00, 0.001230
2016-11-02-15-00, 0.001230
2016-11-02-16-00, 0.001233
2016-11-02-17-00, 0.001230
2016-11-02-18-00, 0.001220
2016-11-02-19-00, 0.001220
2016-11-02-20-00, 0.001220
2016-11-02-21-00, 0.001215
2016-11-02-22-00, 0.001205
2016-11-02-23-00, 0.001200
2016-11-03-00-00, 0.001197
2016-11-03-01-00, 0.001191
2016-11-03-02-00, 0.001198
2016-11-03-03-00, 0.001196
2016-11-03-04-00, 0.001200
2016-11-03-05-00, 0.001202
2016-11-03-06-00, 0.001190
2016-11-03-07-00, 0.001196
2016-11-03-08-00, 0.001210
2016-11-03-09-00, 0.001210
2016-11-03-10-00, 0.001211
2016-11-03-11-00, 0.001210
2016-11-03-12-00, 0.001202
2016-11-03-13-00, 0.001200
2016-11-03-14-00, 0.001223
2016-11-03-15-00, 0.001210
2016-11-03-16-00, 0.001242
2016-11-03-17-00, 0.001268
2016-11-03-18-00, 0.001280
2016-11-03-19-00, 0.001309
2016-11-03-20-00, 0.001266
2016-11-03-21-00, 0.001289
2016-11-03-22-00, 0.001300
2016-11-03-23-00, 0.001312
2016-11-04-00-00, 0.001297
2016-11-04-01-00, 0.001299
2016-11-04-02-00, 0.001301
2016-11-04-03-00, 0.001300
2016-11-04-04-00, 0.001297
2016-11-04-05-00, 0.001290
2016-11-04-06-00, 0.001278
2016-11-04-07-00, 0.001296
2016-11-04-08-00, 0.001290
2016-11-04-09-00, 0.001278
2016-11-04-10-00, 0.001276
2016-11-04-11-00, 0.001266
2016-11-04-12-00, 0.001268
2016-11-04-13-00, 0.001281
2016-11-04-14-00, 0.001275
2016-11-04-15-00, 0.001288
2016-11-04-16-00, 0.001321
2016-11-04-17-00, 0.001328
2016-11-04-18-00, 0.001361
2016-11-04-19-00, 0.001385
2016-11-04-20-00, 0.001347
2016-11-04-21-00, 0.001363
2016-11-04-22-00, 0.001427
2016-11-04-23-00, 0.001386
2016-11-05-00-00, 0.001377
2016-11-05-01-00, 0.001369
2016-11-05-02-00, 0.001371
2016-11-05-03-00, 0.001385
2016-11-05-04-00, 0.001380
2016-11-05-05-00, 0.001383
2016-11-05-06-00, 0.001383
2016-11-05-07-00, 0.001390
2016-11-05-08-00, 0.001397
2016-11-05-09-00, 0.001379
2016-11-05-10-00, 0.001377
2016-11-05-11-00, 0.001380
2016-11-05-12-00, 0.001394
2016-11-05-13-00, 0.001460
2016-11-05-14-00, 0.001498
2016-11-05-15-00, 0.001467
2016-11-05-16-00, 0.001478
2016-11-05-17-00, 0.001440
2016-11-05-18-00, 0.001441
2016-11-05-19-00, 0.001481
2016-11-05-20-00, 0.001472
2016-11-05-21-00, 0.001475
2016-11-05-22-00, 0.001493
2016-11-05-23-00, 0.001488
2016-11-06-00-00, 0.001478
2016-11-06-01-00, 0.001451
2016-11-06-02-00, 0.001449
2016-11-06-03-00, 0.001436
2016-11-06-04-00, 0.001399
2016-11-06-05-00, 0.001377
2016-11-06-06-00, 0.001388
2016-11-06-07-00, 0.001388
2016-11-06-08-00, 0.001410
2016-11-06-09-00, 0.001408
2016-11-06-10-00, 0.001378
2016-11-06-11-00, 0.001386
2016-11-06-12-00, 0.001415
2016-11-06-13-00, 0.001404
2016-11-06-14-00, 0.001410
2016-11-06-15-00, 0.001427
2016-11-06-16-00, 0.001396
2016-11-06-17-00, 0.001405
2016-11-06-18-00, 0.001404
2016-11-06-19-00, 0.001416
2016-11-06-20-00, 0.001393
2016-11-06-21-00, 0.001384
2016-11-06-22-00, 0.001388
2016-11-06-23-00, 0.001389
2016-11-07-00-00, 0.001381
2016-11-07-01-00, 0.001392
2016-11-07-02-00, 0.001397
2016-11-07-03-00, 0.001373
2016-11-07-04-00, 0.001362
2016-11-07-05-00, 0.001373
2016-11-07-06-00, 0.001376
2016-11-07-07-00, 0.001374
2016-11-07-08-00, 0.001373
2016-11-07-09-00, 0.001380
2016-11-07-10-00, 0.001384
2016-11-07-11-00, 0.001384
2016-11-07-12-00, 0.001393
2016-11-07-13-00, 0.001415
2016-11-07-14-00, 0.001430
2016-11-07-15-00, 0.001420
2016-11-07-16-00, 0.001397
2016-11-07-17-00, 0.001391
2016-11-07-18-00, 0.001379
2016-11-07-19-00, 0.001378
2016-11-07-20-00, 0.001375
2016-11-07-21-00, 0.001360
2016-11-07-22-00, 0.001362
2016-11-07-23-00, 0.000000
2016-11-08-00-00, 0.001317
2016-11-08-01-00, 0.001332
2016-11-08-02-00, 0.001322
2016-11-08-03-00, 0.001321
2016-11-08-04-00, 0.001335
2016-11-08-05-00, 0.001341
2016-11-08-06-00, 0.001335
2016-11-08-07-00, 0.001328
2016-11-08-08-00, 0.001316
2016-11-08-09-00, 0.001323
2016-11-08-10-00, 0.001329
2016-11-08-11-00, 0.001327
2016-11-08-12-00, 0.001320
2016-11-08-13-00, 0.001315
2016-11-08-14-00, 0.001310
2016-11-08-15-00, 0.001300
2016-11-08-16-00, 0.001300
2016-11-08-17-00, 0.001300
2016-11-08-18-00, 0.001316
2016-11-08-19-00, 0.001305
2016-11-08-20-00, 0.001312
2016-11-08-21-00, 0.001308
2016-11-08-22-00, 0.001308
2016-11-08-23-00, 0.001308
2016-11-09-00-00, 0.001330
2016-11-09-01-00, 0.001306
2016-11-09-02-00, 0.001306
2016-11-09-03-00, 0.001304
2016-11-09-04-00, 0.001266
2016-11-09-05-00, 0.001260
2016-11-09-06-00, 0.001250
2016-11-09-07-00, 0.001251
2016-11-09-08-00, 0.001247
2016-11-09-09-00, 0.001237
2016-11-09-10-00, 0.001237
2016-11-09-11-00, 0.001240
2016-11-09-12-00, 0.001250
2016-11-09-13-00, 0.001265
2016-11-09-14-00, 0.001274
2016-11-09-15-00, 0.001269
2016-11-09-16-00, 0.001283
2016-11-09-17-00, 0.001277
2016-11-09-18-00, 0.001260
2016-11-09-19-00, 0.001262
2016-11-09-20-00, 0.001276
2016-11-09-21-00, 0.001266
2016-11-09-22-00, 0.001265
2016-11-09-23-00, 0.001262
2016-11-10-00-00, 0.001263
2016-11-10-01-00, 0.001253
2016-11-10-02-00, 0.001246
2016-11-10-03-00, 0.001262
2016-11-10-04-00, 0.001254
2016-11-10-05-00, 0.001269
2016-11-10-06-00, 0.001278
2016-11-10-07-00, 0.001302
2016-11-10-08-00, 0.001290
2016-11-10-09-00, 0.001290
2016-11-10-10-00, 0.001294
2016-11-10-11-00, 0.001321
2016-11-10-12-00, 0.001314
2016-11-10-13-00, 0.001311
2016-11-10-14-00, 0.001303
2016-11-10-15-00, 0.001307
2016-11-10-16-00, 0.001308
2016-11-10-17-00, 0.001298
2016-11-10-18-00, 0.001291
2016-11-10-19-00, 0.001298
2016-11-10-20-00, 0.001320
2016-11-10-21-00, 0.001315
2016-11-10-22-00, 0.001292
2016-11-10-23-00, 0.001293
2016-11-11-00-00, 0.001289
2016-11-11-01-00, 0.001288
2016-11-11-02-00, 0.001288
2016-11-11-03-00, 0.001305
2016-11-11-04-00, 0.001308
2016-11-11-05-00, 0.001309
2016-11-11-06-00, 0.001301
2016-11-11-07-00, 0.001284
2016-11-11-08-00, 0.001282
2016-11-11-09-00, 0.001285
2016-11-11-10-00, 0.001280
2016-11-11-11-00, 0.001280
2016-11-11-12-00, 0.001250
2016-11-11-13-00, 0.001260
2016-11-11-14-00, 0.001264
2016-11-11-15-00, 0.001267
2016-11-11-16-00, 0.001273
2016-11-11-17-00, 0.001270
2016-11-11-18-00, 0.001268
2016-11-11-19-00, 0.001278
2016-11-11-20-00, 0.001276
2016-11-11-21-00, 0.001273
2016-11-11-22-00, 0.001295
2016-11-11-23-00, 0.001282
2016-11-12-00-00, 0.001280
2016-11-12-01-00, 0.001291
2016-11-12-02-00, 0.001298
2016-11-12-03-00, 0.001296
2016-11-12-04-00, 0.001291
2016-11-12-05-00, 0.001291
2016-11-12-06-00, 0.001296
2016-11-12-07-00, 0.001299
2016-11-12-08-00, 0.001302
2016-11-12-09-00, 0.001299
2016-11-12-10-00, 0.001295
2016-11-12-11-00, 0.001350
2016-11-12-12-00, 0.001316
2016-11-12-13-00, 0.001310
2016-11-12-14-00, 0.001307
2016-11-12-15-00, 0.001313
2016-11-12-16-00, 0.001323
2016-11-12-17-00, 0.001314
2016-11-12-18-00, 0.001311
2016-11-12-19-00, 0.001302
2016-11-12-20-00, 0.001300
2016-11-12-21-00, 0.001302
2016-11-12-22-00, 0.001307
2016-11-12-23-00, 0.001311
2016-11-13-00-00, 0.001293
2016-11-13-01-00, 0.001300
2016-11-13-02-00, 0.001307
2016-11-13-03-00, 0.001302
2016-11-13-04-00, 0.001300
2016-11-13-05-00, 0.001304
2016-11-13-06-00, 0.001307
2016-11-13-07-00, 0.001313
2016-11-13-08-00, 0.001306
2016-11-13-09-00, 0.001305
2016-11-13-10-00, 0.001305
2016-11-13-11-00, 0.001300
2016-11-13-12-00, 0.001313
2016-11-13-13-00, 0.001308
2016-11-13-14-00, 0.001324
2016-11-13-15-00, 0.001336
2016-11-13-16-00, 0.001300
2016-11-13-17-00, 0.001298
2016-11-13-18-00, 0.001290
2016-11-13-19-00, 0.001296
2016-11-13-20-00, 0.001291
2016-11-13-21-00, 0.001293
2016-11-13-22-00, 0.001296
2016-11-13-23-00, 0.001293
2016-11-14-00-00, 0.001287
2016-11-14-01-00, 0.001287
2016-11-14-02-00, 0.001288
2016-11-14-03-00, 0.001280
2016-11-14-04-00, 0.001280
2016-11-14-05-00, 0.001290
2016-11-14-06-00, 0.001285
2016-11-14-07-00, 0.001284
2016-11-14-08-00, 0.001284
2016-11-14-09-00, 0.001285
2016-11-14-10-00, 0.001284
2016-11-14-11-00, 0.001284
2016-11-14-12-00, 0.001280
2016-11-14-13-00, 0.001278
2016-11-14-14-00, 0.001278
2016-11-14-15-00, 0.001268
2016-11-14-16-00, 0.001267
2016-11-14-17-00, 0.001274
2016-11-14-18-00, 0.001268
2016-11-14-19-00, 0.001273
2016-11-14-20-00, 0.001267
2016-11-14-21-00, 0.001264
2016-11-14-22-00, 0.001257
2016-11-14-23-00, 0.001264
2016-11-15-00-00, 0.001264
2016-11-15-01-00, 0.001259
2016-11-15-02-00, 0.001257
2016-11-15-03-00, 0.001248
2016-11-15-04-00, 0.001274
2016-11-15-05-00, 0.001274
2016-11-15-06-00, 0.001273
2016-11-15-07-00, 0.001273
2016-11-15-08-00, 0.001280
2016-11-15-09-00, 0.001267
2016-11-15-10-00, 0.001265
2016-11-15-11-00, 0.001266
2016-11-15-12-00, 0.001271
2016-11-15-13-00, 0.001268
2016-11-15-14-00, 0.001270
2016-11-15-15-00, 0.001270
2016-11-15-16-00, 0.001266
2016-11-15-17-00, 0.001291
2016-11-15-18-00, 0.001288
2016-11-15-19-00, 0.001295
2016-11-15-20-00, 0.001299
2016-11-15-21-00, 0.001295
2016-11-15-22-00, 0.001305
2016-11-15-23-00, 0.001305
2016-11-16-00-00, 0.001302
2016-11-16-01-00, 0.001300
2016-11-16-02-00, 0.001295
2016-11-16-03-00, 0.001290
2016-11-16-04-00, 0.001296
2016-11-16-05-00, 0.001300
2016-11-16-06-00, 0.001290
2016-11-16-07-00, 0.001285
2016-11-16-08-00, 0.001285
2016-11-16-09-00, 0.001282
2016-11-16-10-00, 0.001280
2016-11-16-11-00, 0.001278
2016-11-16-12-00, 0.001276
2016-11-16-13-00, 0.001245
2016-11-16-14-00, 0.001247
2016-11-16-15-00, 0.001239
2016-11-16-16-00, 0.001247
2016-11-16-17-00, 0.001247
2016-11-16-18-00, 0.001240
2016-11-16-19-00, 0.001235
2016-11-16-20-00, 0.001239
2016-11-16-21-00, 0.001244
2016-11-16-22-00, 0.001224
2016-11-16-23-00, 0.001230
2016-11-17-00-00, 0.001221
2016-11-17-01-00, 0.001219
2016-11-17-02-00, 0.001218
2016-11-17-03-00, 0.001210
2016-11-17-04-00, 0.001210
2016-11-17-05-00, 0.001205
2016-11-17-06-00, 0.001207
2016-11-17-07-00, 0.001206
2016-11-17-08-00, 0.001200
2016-11-17-09-00, 0.001201
2016-11-17-10-00, 0.001200
2016-11-17-11-00, 0.001202
2016-11-17-12-00, 0.001226
2016-11-17-13-00, 0.001206
2016-11-17-14-00, 0.001210
2016-11-17-15-00, 0.001210
2016-11-17-16-00, 0.001200
2016-11-17-17-00, 0.001197
2016-11-17-18-00, 0.001197
2016-11-17-19-00, 0.001197
2016-11-17-20-00, 0.001198
2016-11-17-21-00, 0.001200
2016-11-17-22-00, 0.001197
2016-11-17-23-00, 0.001203
2016-11-18-00-00, 0.001205
2016-11-18-01-00, 0.001207
2016-11-18-02-00, 0.001213
2016-11-18-03-00, 0.001218
2016-11-18-04-00, 0.001214
2016-11-18-05-00, 0.001207
2016-11-18-06-00, 0.001210
2016-11-18-07-00, 0.001208
2016-11-18-08-00, 0.001195
2016-11-18-09-00, 0.001190
2016-11-18-10-00, 0.001178
2016-11-18-11-00, 0.001178
2016-11-18-12-00, 0.001170
2016-11-18-13-00, 0.001172
2016-11-18-14-00, 0.001160
2016-11-18-15-00, 0.001160
2016-11-18-16-00, 0.001168
2016-11-18-17-00, 0.001175
2016-11-18-18-00, 0.001176
2016-11-18-19-00, 0.001179
2016-11-18-20-00, 0.001175
2016-11-18-21-00, 0.001170
2016-11-18-22-00, 0.001171
2016-11-18-23-00, 0.001163
2016-11-19-00-00, 0.001154
2016-11-19-01-00, 0.001151
2016-11-19-02-00, 0.001141
2016-11-19-03-00, 0.001147
2016-11-19-04-00, 0.001151
2016-11-19-05-00, 0.001151
2016-11-19-06-00, 0.001152
2016-11-19-07-00, 0.001153
2016-11-19-08-00, 0.001146
2016-11-19-09-00, 0.001159
2016-11-19-10-00, 0.001156
2016-11-19-11-00, 0.001153
2016-11-19-12-00, 0.001145
2016-11-19-13-00, 0.001149
2016-11-19-14-00, 0.001146
2016-11-19-15-00, 0.001146
2016-11-19-16-00, 0.001146
2016-11-19-17-00, 0.001140
2016-11-19-18-00, 0.001148
2016-11-19-19-00, 0.001143
2016-11-19-20-00, 0.001145
2016-11-19-21-00, 0.001145
2016-11-19-22-00, 0.001143
2016-11-19-23-00, 0.001144
2016-11-20-00-00, 0.001143
2016-11-20-01-00, 0.001143
2016-11-20-02-00, 0.001143
2016-11-20-03-00, 0.001143
2016-11-20-04-00, 0.001141
2016-11-20-05-00, 0.001150
2016-11-20-06-00, 0.001148
2016-11-20-07-00, 0.001143
2016-11-20-08-00, 0.001140
2016-11-20-09-00, 0.001140
2016-11-20-10-00, 0.001141
2016-11-20-11-00, 0.001143
2016-11-20-12-00, 0.001142
2016-11-20-13-00, 0.001145
2016-11-20-14-00, 0.001175
2016-11-20-15-00, 0.001185
2016-11-20-16-00, 0.001197
2016-11-20-17-00, 0.001187
2016-11-20-18-00, 0.001193
2016-11-20-19-00, 0.001203
2016-11-20-20-00, 0.001175
2016-11-20-21-00, 0.001178
2016-11-20-22-00, 0.001184
2016-11-20-23-00, 0.001169
2016-11-21-00-00, 0.001170
2016-11-21-01-00, 0.001173
2016-11-21-02-00, 0.001166
2016-11-21-03-00, 0.001166
2016-11-21-04-00, 0.001173
2016-11-21-05-00, 0.001176
2016-11-21-06-00, 0.001166
2016-11-21-07-00, 0.001170
2016-11-21-08-00, 0.001165
2016-11-21-09-00, 0.001165
2016-11-21-10-00, 0.001158
2016-11-21-11-00, 0.001148
2016-11-21-12-00, 0.001154
2016-11-21-13-00, 0.001157
2016-11-21-14-00, 0.001149
2016-11-21-15-00, 0.001148
2016-11-21-16-00, 0.001158
2016-11-21-17-00, 0.001156
2016-11-21-18-00, 0.001147
2016-11-21-19-00, 0.001146
2016-11-21-20-00, 0.001142
2016-11-21-21-00, 0.001142
2016-11-21-22-00, 0.001147
2016-11-21-23-00, 0.001147
2016-11-22-00-00, 0.001146
2016-11-22-01-00, 0.001147
2016-11-22-02-00, 0.001146
2016-11-22-03-00, 0.001143
2016-11-22-04-00, 0.001140
2016-11-22-05-00, 0.001135
2016-11-22-06-00, 0.001137
2016-11-22-07-00, 0.001141
2016-11-22-08-00, 0.001150
2016-11-22-09-00, 0.001150
2016-11-22-10-00, 0.001160
2016-11-22-11-00, 0.001156
2016-11-22-12-00, 0.001156
2016-11-22-13-00, 0.001159
2016-11-22-14-00, 0.001150
2016-11-22-15-00, 0.001133
2016-11-22-16-00, 0.001130
2016-11-22-17-00, 0.001128
2016-11-22-18-00, 0.001125
2016-11-22-19-00, 0.001120
2016-11-22-20-00, 0.001120
2016-11-22-21-00, 0.001120
2016-11-22-22-00, 0.001120
2016-11-22-23-00, 0.001118
2016-11-23-00-00, 0.001110
2016-11-23-01-00, 0.001119
2016-11-23-02-00, 0.001110
2016-11-23-03-00, 0.001110
2016-11-23-04-00, 0.001127
2016-11-23-05-00, 0.001135
2016-11-23-06-00, 0.001131
2016-11-23-07-00, 0.001128
2016-11-23-08-00, 0.001123
2016-11-23-09-00, 0.001135
2016-11-23-10-00, 0.001137
2016-11-23-11-00, 0.001148
2016-11-23-12-00, 0.001133
2016-11-23-13-00, 0.001130
2016-11-23-14-00, 0.001104
2016-11-23-15-00, 0.001132
2016-11-23-16-00, 0.001142
2016-11-23-17-00, 0.001130
2016-11-23-18-00, 0.001122
2016-11-23-19-00, 0.001120
2016-11-23-20-00, 0.001100
2016-11-23-21-00, 0.001090
2016-11-23-22-00, 0.001092
2016-11-23-23-00, 0.001090
2016-11-24-00-00, 0.001095
2016-11-24-01-00, 0.001093
2016-11-24-02-00, 0.001096
2016-11-24-03-00, 0.001093
2016-11-24-04-00, 0.001089
2016-11-24-05-00, 0.001092
2016-11-24-06-00, 0.001092
2016-11-24-07-00, 0.001095
2016-11-24-08-00, 0.001089
2016-11-24-09-00, 0.001078
2016-11-24-10-00, 0.001079
2016-11-24-11-00, 0.001090
2016-11-24-12-00, 0.001091
2016-11-24-13-00, 0.001080
2016-11-24-14-00, 0.001079
2016-11-24-15-00, 0.001075
2016-11-24-16-00, 0.001002
2016-11-24-17-00, 0.001030
2016-11-24-18-00, 0.001011
2016-11-24-19-00, 0.001009
2016-11-24-20-00, 0.001022
2016-11-24-21-00, 0.001019
2016-11-24-22-00, 0.001035
2016-11-24-23-00, 0.001039
2016-11-25-00-00, 0.001040
2016-11-25-01-00, 0.001036
2016-11-25-02-00, 0.001036
2016-11-25-03-00, 0.001041
2016-11-25-04-00, 0.001054
2016-11-25-05-00, 0.001051
2016-11-25-06-00, 0.001046
2016-11-25-07-00, 0.001039
2016-11-25-08-00, 0.001046
2016-11-25-09-00, 0.001052
2016-11-25-10-00, 0.001047
2016-11-25-11-00, 0.001042
2016-11-25-12-00, 0.001045
2016-11-25-13-00, 0.001053
2016-11-25-14-00, 0.001087
2016-11-25-15-00, 0.001093
2016-11-25-16-00, 0.001119
2016-11-25-17-00, 0.001156
2016-11-25-18-00, 0.001131
2016-11-25-19-00, 0.001100
2016-11-25-20-00, 0.001139
2016-11-25-21-00, 0.001154
2016-11-25-22-00, 0.001113
2016-11-25-23-00, 0.001086
2016-11-26-00-00, 0.001131
2016-11-26-01-00, 0.001104
2016-11-26-02-00, 0.001113
2016-11-26-03-00, 0.001124
2016-11-26-04-00, 0.001126
2016-11-26-05-00, 0.001122
2016-11-26-06-00, 0.001127
2016-11-26-07-00, 0.001118
2016-11-26-08-00, 0.001110
2016-11-26-09-00, 0.001085
2016-11-26-10-00, 0.001082
2016-11-26-11-00, 0.001105
2016-11-26-12-00, 0.001098
2016-11-26-13-00, 0.001085
2016-11-26-14-00, 0.001076
2016-11-26-15-00, 0.001071
2016-11-26-16-00, 0.001098
2016-11-26-17-00, 0.001088
2016-11-26-18-00, 0.001087
2016-11-26-19-00, 0.001080
2016-11-26-20-00, 0.001078
2016-11-26-21-00, 0.001083
2016-11-26-22-00, 0.001076
2016-11-26-23-00, 0.001066
2016-11-27-00-00, 0.001066
2016-11-27-01-00, 0.001063
2016-11-27-02-00, 0.001071
2016-11-27-03-00, 0.001076
2016-11-27-04-00, 0.001091
2016-11-27-05-00, 0.001091
2016-11-27-06-00, 0.001087
2016-11-27-07-00, 0.001085
2016-11-27-08-00, 0.001083
2016-11-27-09-00, 0.001081
2016-11-27-10-00, 0.001082
2016-11-27-11-00, 0.001084
2016-11-27-12-00, 0.001080
2016-11-27-13-00, 0.001076
2016-11-27-14-00, 0.001078
2016-11-27-15-00, 0.001061
2016-11-27-16-00, 0.001070
2016-11-27-17-00, 0.001062
2016-11-27-18-00, 0.001064
2016-11-27-19-00, 0.001058
2016-11-27-20-00, 0.001054
2016-11-27-21-00, 0.001049
2016-11-27-22-00, 0.001052
2016-11-27-23-00, 0.001056
2016-11-28-00-00, 0.001065
2016-11-28-01-00, 0.001060
2016-11-28-02-00, 0.001058
2016-11-28-03-00, 0.001056
2016-11-28-04-00, 0.001064
2016-11-28-05-00, 0.001066
2016-11-28-06-00, 0.001066
2016-11-28-07-00, 0.001060
2016-11-28-08-00, 0.001050
2016-11-28-09-00, 0.001043
2016-11-28-10-00, 0.001044
2016-11-28-11-00, 0.001041
2016-11-28-12-00, 0.001042
2016-11-28-13-00, 0.001040
2016-11-28-14-00, 0.001047
2016-11-28-15-00, 0.001031
2016-11-28-16-00, 0.001041
2016-11-28-17-00, 0.001040
2016-11-28-18-00, 0.001040
2016-11-28-19-00, 0.001031
2016-11-28-20-00, 0.001038
2016-11-28-21-00, 0.001031
2016-11-28-22-00, 0.001031
2016-11-28-23-00, 0.001031
2016-11-29-00-00, 0.001031
2016-11-29-01-00, 0.001031
2016-11-29-02-00, 0.001030
2016-11-29-03-00, 0.001025
2016-11-29-04-00, 0.001015
2016-11-29-05-00, 0.001010
2016-11-29-06-00, 0.001010
2016-11-29-07-00, 0.001010
2016-11-29-08-00, 0.001004
2016-11-29-09-00, 0.000991
2016-11-29-10-00, 0.000990
2016-11-29-11-00, 0.000988
2016-11-29-12-00, 0.000988
2016-11-29-13-00, 0.000995
2016-11-29-14-00, 0.001009
2016-11-29-15-00, 0.001010
2016-11-29-16-00, 0.001010
2016-11-29-17-00, 0.001010
2016-11-29-18-00, 0.001013
2016-11-29-19-00, 0.001014
2016-11-29-20-00, 0.001053
2016-11-29-21-00, 0.001020
2016-11-29-22-00, 0.001020
2016-11-29-23-00, 0.001021
2016-11-30-00-00, 0.001017
2016-11-30-01-00, 0.001023
2016-11-30-02-00, 0.001023
2016-11-30-03-00, 0.001029
2016-11-30-04-00, 0.001034
2016-11-30-05-00, 0.001020
2016-11-30-06-00, 0.001020
2016-11-30-07-00, 0.001024
2016-11-30-08-00, 0.001023
2016-11-30-09-00, 0.001013
2016-11-30-10-00, 0.001003
2016-11-30-11-00, 0.001008
2016-11-30-12-00, 0.001003
2016-11-30-13-00, 0.001001
2016-11-30-14-00, 0.001006
2016-11-30-15-00, 0.001006
2016-11-30-16-00, 0.001001
2016-11-30-17-00, 0.001001
2016-11-30-18-00, 0.001007
2016-11-30-19-00, 0.001000
2016-11-30-20-00, 0.001006
2016-11-30-21-00, 0.000997
2016-11-30-22-00, 0.001001
2016-11-30-23-00, 0.001006
2016-12-01-00-00, 0.001000
2016-12-01-01-00, 0.001002
2016-12-01-02-00, 0.001014
2016-12-01-03-00, 0.001011
2016-12-01-04-00, 0.001012
2016-12-01-05-00, 0.001018
2016-12-01-06-00, 0.001010
2016-12-01-07-00, 0.001013
2016-12-01-08-00, 0.001003
2016-12-01-09-00, 0.001004
2016-12-01-10-00, 0.001002
2016-12-01-11-00, 0.001008
2016-12-01-12-00, 0.001002
2016-12-01-13-00, 0.001002
2016-12-01-14-00, 0.001041
2016-12-01-15-00, 0.001019
2016-12-01-16-00, 0.001011
2016-12-01-17-00, 0.001020
2016-12-01-18-00, 0.001020
2016-12-01-19-00, 0.001019
2016-12-01-20-00, 0.001016
2016-12-01-21-00, 0.001013
2016-12-01-22-00, 0.001013
2016-12-01-23-00, 0.001012
2016-12-02-00-00, 0.001011
2016-12-02-01-00, 0.001011
2016-12-02-02-00, 0.000997
2016-12-02-03-00, 0.000997
2016-12-02-04-00, 0.000997
2016-12-02-05-00, 0.000997
2016-12-02-06-00, 0.000990
2016-12-02-07-00, 0.000989
2016-12-02-08-00, 0.000982
2016-12-02-09-00, 0.000980
2016-12-02-10-00, 0.000980
2016-12-02-11-00, 0.000977
2016-12-02-12-00, 0.000977
2016-12-02-13-00, 0.000975
2016-12-02-14-00, 0.000970
2016-12-02-15-00, 0.000965
2016-12-02-16-00, 0.000950
2016-12-02-17-00, 0.000976
2016-12-02-18-00, 0.000979
2016-12-02-19-00, 0.000990
2016-12-02-20-00, 0.000993
2016-12-02-21-00, 0.001025
2016-12-02-22-00, 0.001046
2016-12-02-23-00, 0.001026
2016-12-03-00-00, 0.001032
2016-12-03-01-00, 0.001021
2016-12-03-02-00, 0.001016
2016-12-03-03-00, 0.001001
2016-12-03-04-00, 0.001000
2016-12-03-05-00, 0.001010
2016-12-03-06-00, 0.001012
2016-12-03-07-00, 0.001015
2016-12-03-08-00, 0.001027
2016-12-03-09-00, 0.001013
2016-12-03-10-00, 0.001011
2016-12-03-11-00, 0.001010
2016-12-03-12-00, 0.001010
2016-12-03-13-00, 0.001003
2016-12-03-14-00, 0.001000
2016-12-03-15-00, 0.001004
2016-12-03-16-00, 0.001003
2016-12-03-17-00, 0.001010
2016-12-03-18-00, 0.001002
2016-12-03-19-00, 0.001006
2016-12-03-20-00, 0.001006
2016-12-03-21-00, 0.001003
