CHF, GBP
2015-11-04-23-58,0.65430803
2015-11-05-23-58,0.66075894
2015-11-06-23-58,0.6607412
2015-11-07-23-58,0.6607412
2015-11-08-23-58,0.66053568
2015-11-09-23-58,0.6593173
2015-11-10-23-58,0.65718251
2015-11-11-23-58,0.65463431
2015-11-12-23-58,0.65606376
2015-11-13-23-58,0.65262971
2015-11-14-23-58,0.65262971
2015-11-15-23-58,0.6519154
2015-11-16-23-58,0.65158865
2015-11-17-23-58,0.64787362
2015-11-18-23-58,0.64396712
2015-11-19-23-58,0.64541893
2015-11-20-23-58,0.64624297
2015-11-21-23-58,0.64624297
2015-11-22-23-58,0.64570569
2015-11-23-23-58,0.64912946
2015-11-24-23-58,0.6519533
2015-11-25-23-58,0.64709786
2015-11-26-23-58,0.64695128
2015-11-27-23-58,0.6458619
2015-11-28-23-58,0.6458619
2015-11-29-23-58,0.64541864
2015-11-30-23-58,0.64535577
2015-12-01-23-58,0.64624995
2015-12-02-23-58,0.65675582
2015-12-03-23-58,0.6649548
2015-12-04-23-58,0.66408652
2015-12-05-23-58,0.66408652
2015-12-06-23-58,0.66387005
2015-12-07-23-58,0.66404892
2015-12-08-23-58,0.67105121
2015-12-09-23-58,0.66980722
2015-12-10-23-58,0.66745919
2015-12-11-23-58,0.67071016
2015-12-12-23-58,0.67071016
2015-12-13-23-58,0.66862151
2015-12-14-23-58,0.66922279
2015-12-15-23-58,0.67079448
2015-12-16-23-58,0.67262257
2015-12-17-23-58,0.67339163
2015-12-18-23-58,0.67680798
2015-12-19-23-58,0.67680798
2015-12-20-23-58,0.6763312
2015-12-21-23-58,0.676318
2015-12-22-23-58,0.68290521
2015-12-23-23-58,0.67865964
2015-12-24-23-58,0.67962175
2015-12-25-23-58,0.68177121
2015-12-26-23-58,0.68177121
2015-12-27-23-58,0.67875876
2015-12-28-23-58,0.6795954
2015-12-29-23-58,0.67987288
2015-12-30-23-58,0.68292829
2015-12-31-23-58,0.67712952
2016-01-01-23-58,0.67609575
2016-01-02-23-58,0.67609575
2016-01-03-23-58,0.67887509
2016-01-04-23-58,0.67791262
2016-01-05-23-58,0.67561187
2016-01-06-23-58,0.67850267
2016-01-07-23-58,0.68799444
2016-01-08-23-58,0.69230602
2016-01-09-23-58,0.69230602
2016-01-10-23-58,0.69376391
2016-01-11-23-58,0.68646195
2016-01-12-23-58,0.69054046
2016-01-13-23-58,0.68983054
2016-01-14-23-58,0.68961791
2016-01-15-23-58,0.70027932
2016-01-16-23-58,0.70027932
2016-01-17-23-58,0.69929112
2016-01-18-23-58,0.69813358
2016-01-19-23-58,0.70289318
2016-01-20-23-58,0.70013787
2016-01-21-23-58,0.69735683
2016-01-22-23-58,0.69005084
2016-01-23-23-58,0.69005084
2016-01-24-23-58,0.69022644
2016-01-25-23-58,0.69347058
2016-01-26-23-58,0.68541798
2016-01-27-23-58,0.69204507
2016-01-28-23-58,0.68677851
2016-01-29-23-58,0.68626627
2016-01-30-23-58,0.68626627
2016-01-31-23-58,0.68521469
2016-02-01-23-58,0.67997154
2016-02-02-23-58,0.68137534
2016-02-03-23-58,0.68190082
2016-02-04-23-58,0.6904287
2016-02-05-23-58,0.69587649
2016-02-06-23-58,0.69587649
2016-02-07-23-58,0.69420383
2016-02-08-23-58,0.70155902
2016-02-09-23-58,0.71055866
2016-02-10-23-58,0.70767761
