BTC, GBP
2014-01-08-19-00, 495.131576
2014-01-08-20-00, 496.323009
2014-01-08-21-00, 497.045262
2014-01-08-22-00, 497.466661
2014-01-08-23-00, 501.103512
2014-01-09-00-00, 502.640534
2014-01-09-01-00, 500.427831
2014-01-09-02-00, 498.968972
2014-01-09-03-00, 507.087244
2014-01-09-04-00, 502.989266
2014-01-09-05-00, 503.150064
2014-01-09-06-00, 505.724156
2014-01-09-07-00, 507.223661
2014-01-09-08-00, 507.252741
2014-01-09-09-00, 507.271312
2014-01-09-10-00, 500.890933
2014-01-09-11-00, 501.021575
2014-01-09-12-00, 494.499870
2014-01-09-13-00, 490.613617
2014-01-09-14-00, 490.032212
2014-01-09-15-00, 493.035279
2014-01-09-16-00, 495.749657
2014-01-09-17-00, 491.303314
2014-01-09-18-00, 488.503435
2014-01-09-19-00, 495.096843
2014-01-09-20-00, 500.653113
2014-01-09-21-00, 503.026318
2014-01-09-22-00, 505.461869
2014-01-09-23-00, 503.939682
2014-01-10-00-00, 496.853611
2014-01-10-01-00, 493.273314
2014-01-10-02-00, 494.740231
2014-01-10-03-00, 494.678017
2014-01-10-04-00, 493.761157
2014-01-10-05-00, 492.216800
2014-01-10-06-00, 494.910420
2014-01-10-07-00, 496.208528
2014-01-10-08-00, 498.538259
2014-01-10-09-00, 498.554162
2014-01-10-10-00, 498.133817
2014-01-10-11-00, 498.131849
2014-01-10-12-00, 499.191615
2014-01-10-13-00, 498.755014
2014-01-10-14-00, 497.230389
2014-01-10-15-00, 499.000389
2014-01-10-16-00, 500.782403
2014-01-10-17-00, 501.334911
2014-01-10-18-00, 502.486923
2014-01-10-19-00, 501.398441
2014-01-10-20-00, 502.488040
2014-01-10-21-00, 507.825717
2014-01-10-22-00, 509.593949
2014-01-10-23-00, 509.817699
2014-01-11-00-00, 528.368008
2014-01-11-01-00, 531.920341
2014-01-11-02-00, 531.602940
2014-01-11-03-00, 529.528761
2014-01-11-04-00, 528.331664
2014-01-11-05-00, 527.021397
2014-01-11-06-00, 526.359715
2014-01-11-07-00, 528.986075
2014-01-11-08-00, 529.925836
2014-01-11-09-00, 532.569874
2014-01-11-10-00, 539.091962
2014-01-11-11-00, 541.878711
2014-01-11-12-00, 541.221459
2014-01-11-13-00, 539.884999
2014-01-11-14-00, 539.016370
2014-01-11-15-00, 541.440829
2014-01-11-16-00, 543.524055
2014-01-11-17-00, 539.957181
2014-01-11-18-00, 538.570410
2014-01-11-19-00, 537.622426
2014-01-11-20-00, 537.553653
2014-01-11-21-00, 538.848082
2014-01-11-22-00, 540.563143
2014-01-11-23-00, 541.712033
2014-01-12-00-00, 537.669848
2014-01-12-01-00, 534.236469
2014-01-12-02-00, 533.050100
2014-01-12-03-00, 532.441731
2014-01-12-04-00, 530.454107
2014-01-12-05-00, 530.624301
2014-01-12-06-00, 528.190595
2014-01-12-07-00, 527.958361
2014-01-12-08-00, 527.451328
2014-01-12-09-00, 526.916407
2014-01-12-10-00, 521.799961
2014-01-12-11-00, 517.089721
2014-01-12-12-00, 513.133828
2014-01-12-13-00, 515.113481
2014-01-12-14-00, 519.427122
2014-01-12-15-00, 522.896485
2014-01-12-16-00, 522.646780
2014-01-12-17-00, 520.877538
2014-01-12-18-00, 520.131350
2014-01-12-19-00, 522.028518
2014-01-12-20-00, 519.887161
2014-01-12-21-00, 518.685435
2014-01-12-22-00, 516.903563
2014-01-12-23-00, 511.746793
2014-01-13-00-00, 506.909336
2014-01-13-01-00, 508.434653
2014-01-13-02-00, 507.738364
2014-01-13-03-00, 507.045850
2014-01-13-04-00, 502.603322
2014-01-13-05-00, 500.681816
2014-01-13-06-00, 502.043734
2014-01-13-07-00, 502.703099
2014-01-13-08-00, 500.049271
2014-01-13-09-00, 502.551600
2014-01-13-10-00, 499.188353
2014-01-13-11-00, 498.857843
2014-01-13-12-00, 494.253694
2014-01-13-13-00, 491.965250
2014-01-13-14-00, 495.713682
2014-01-13-15-00, 497.426647
2014-01-13-16-00, 495.920436
2014-01-13-17-00, 495.841839
2014-01-13-18-00, 497.452326
2014-01-13-19-00, 497.968527
2014-01-13-20-00, 500.231100
2014-01-13-21-00, 501.719576
2014-01-13-22-00, 503.448692
2014-01-13-23-00, 502.823011
2014-01-14-00-00, 500.815121
2014-01-14-01-00, 500.519362
2014-01-14-02-00, 501.798315
2014-01-14-03-00, 503.119145
2014-01-14-04-00, 502.366315
2014-01-14-05-00, 503.023865
2014-01-14-06-00, 503.409144
2014-01-14-07-00, 504.015926
2014-01-14-08-00, 505.681877
2014-01-14-09-00, 502.063289
2014-01-14-10-00, 501.714890
2014-01-14-11-00, 500.845743
2014-01-14-12-00, 497.541962
2014-01-14-13-00, 496.054341
2014-01-14-14-00, 501.187976
2014-01-14-15-00, 502.014693
2014-01-14-16-00, 502.185440
2014-01-14-17-00, 500.792965
2014-01-14-18-00, 499.788018
2014-01-14-19-00, 500.439290
2014-01-14-20-00, 500.200824
2014-01-14-21-00, 499.951748
2014-01-14-22-00, 500.265776
2014-01-14-23-00, 497.836372
2014-01-15-00-00, 503.802152
2014-01-15-01-00, 504.854289
2014-01-15-02-00, 503.770257
2014-01-15-03-00, 504.578713
2014-01-15-04-00, 507.239074
2014-01-15-05-00, 508.627118
2014-01-15-06-00, 509.697637
2014-01-15-07-00, 510.346008
2014-01-15-08-00, 512.095439
2014-01-15-09-00, 513.538683
2014-01-15-10-00, 513.768922
2014-01-15-11-00, 512.451559
2014-01-15-12-00, 511.116651
2014-01-15-13-00, 510.646384
2014-01-15-14-00, 513.473018
2014-01-15-15-00, 515.572381
2014-01-15-16-00, 515.936270
2014-01-15-17-00, 514.554322
2014-01-15-18-00, 515.648936
2014-01-15-19-00, 513.913476
2014-01-15-20-00, 513.165762
2014-01-15-21-00, 512.562434
2014-01-15-22-00, 513.683112
2014-01-15-23-00, 514.411702
2014-01-16-00-00, 517.978398
2014-01-16-01-00, 516.428341
2014-01-16-02-00, 515.944518
2014-01-16-03-00, 518.464911
2014-01-16-04-00, 514.870577
2014-01-16-05-00, 516.445230
2014-01-16-06-00, 517.842379
2014-01-16-07-00, 518.345416
2014-01-16-08-00, 516.851847
2014-01-16-09-00, 515.383428
2014-01-16-10-00, 513.565963
2014-01-16-11-00, 511.761627
2014-01-16-12-00, 509.972261
2014-01-16-13-00, 509.191713
2014-01-16-14-00, 510.105501
2014-01-16-15-00, 510.856625
2014-01-16-16-00, 510.384737
2014-01-16-17-00, 509.228756
2014-01-16-18-00, 509.271258
2014-01-16-19-00, 507.612682
2014-01-16-20-00, 506.341530
2014-01-16-21-00, 506.267243
2014-01-16-22-00, 506.116197
2014-01-16-23-00, 503.802796
2014-01-17-00-00, 494.111336
2014-01-17-01-00, 496.017555
2014-01-17-02-00, 494.701364
2014-01-17-03-00, 491.225922
2014-01-17-04-00, 490.771251
2014-01-17-05-00, 491.406148
2014-01-17-06-00, 493.225066
2014-01-17-07-00, 495.644315
2014-01-17-08-00, 493.741294
2014-01-17-09-00, 494.194485
2014-01-17-10-00, 491.069674
2014-01-17-11-00, 488.929816
2014-01-17-12-00, 489.201225
2014-01-17-13-00, 487.460644
2014-01-17-14-00, 485.365548
2014-01-17-15-00, 484.132612
2014-01-17-16-00, 486.006433
2014-01-17-17-00, 484.743746
2014-01-17-18-00, 481.733994
2014-01-17-19-00, 479.362617
2014-01-17-20-00, 481.030739
2014-01-17-21-00, 484.780420
2014-01-17-22-00, 487.224180
2014-01-17-23-00, 488.385388
2014-01-18-00-00, 492.188385
2014-01-18-01-00, 492.620024
2014-01-18-02-00, 491.670917
2014-01-18-03-00, 492.325784
2014-01-18-04-00, 493.266315
2014-01-18-05-00, 494.403343
2014-01-18-06-00, 494.817842
2014-01-18-07-00, 494.163216
2014-01-18-08-00, 493.670270
2014-01-18-09-00, 494.832374
2014-01-18-10-00, 494.178436
2014-01-18-11-00, 495.931898
2014-01-18-12-00, 494.587237
2014-01-18-13-00, 495.126363
2014-01-18-14-00, 492.913277
2014-01-18-15-00, 490.694290
2014-01-18-16-00, 489.790960
2014-01-18-17-00, 490.628832
2014-01-18-18-00, 492.505724
2014-01-18-19-00, 493.688845
2014-01-18-20-00, 491.885371
2014-01-18-21-00, 491.670716
2014-01-18-22-00, 493.822210
2014-01-18-23-00, 494.641300
2014-01-19-00-00, 494.543295
2014-01-19-01-00, 494.722458
2014-01-19-02-00, 491.237348
2014-01-19-03-00, 489.447579
2014-01-19-04-00, 489.001374
2014-01-19-05-00, 488.792277
2014-01-19-06-00, 490.743598
2014-01-19-07-00, 490.792864
2014-01-19-08-00, 492.181859
2014-01-19-09-00, 492.651021
2014-01-19-10-00, 493.052996
2014-01-19-11-00, 493.714431
2014-01-19-12-00, 494.643582
2014-01-19-13-00, 497.734534
2014-01-19-14-00, 498.896314
2014-01-19-15-00, 502.553674
2014-01-19-16-00, 502.391532
2014-01-19-17-00, 502.047224
2014-01-19-18-00, 501.862436
2014-01-19-19-00, 501.746875
2014-01-19-20-00, 501.044441
2014-01-19-21-00, 501.550353
2014-01-19-22-00, 504.294806
2014-01-19-23-00, 505.125021
2014-01-20-00-00, 509.638864
2014-01-20-01-00, 510.028344
2014-01-20-02-00, 511.875271
2014-01-20-03-00, 511.405237
2014-01-20-04-00, 510.530439
2014-01-20-05-00, 510.518268
2014-01-20-06-00, 510.370024
2014-01-20-07-00, 510.080201
2014-01-20-08-00, 510.153814
2014-01-20-09-00, 509.347153
2014-01-20-10-00, 509.226173
2014-01-20-11-00, 506.173414
2014-01-20-12-00, 506.314985
2014-01-20-13-00, 506.519343
2014-01-20-14-00, 504.352997
2014-01-20-15-00, 503.682662
2014-01-20-16-00, 506.422190
2014-01-20-17-00, 507.716227
2014-01-20-18-00, 506.457443
2014-01-20-19-00, 507.575413
2014-01-20-20-00, 508.899860
2014-01-20-21-00, 507.742458
2014-01-20-22-00, 508.543476
2014-01-20-23-00, 506.969898
2014-01-21-00-00, 501.986763
2014-01-21-01-00, 502.774201
2014-01-21-02-00, 502.398104
2014-01-21-03-00, 501.342060
2014-01-21-04-00, 501.909522
2014-01-21-05-00, 501.564076
2014-01-21-06-00, 501.356426
2014-01-21-07-00, 499.708830
2014-01-21-08-00, 498.606854
2014-01-21-09-00, 498.937888
2014-01-21-10-00, 498.834849
2014-01-21-11-00, 499.895573
2014-01-21-12-00, 500.366210
2014-01-21-13-00, 500.501439
2014-01-21-14-00, 501.604708
2014-01-21-15-00, 501.136930
2014-01-21-16-00, 500.096499
2014-01-21-17-00, 499.457997
2014-01-21-18-00, 499.267634
2014-01-21-19-00, 500.129380
2014-01-21-20-00, 499.426069
