ETC, GBP
2016-08-28-10-00, 1.008338
2016-08-28-11-00, 1.006767
2016-08-28-12-00, 1.015940
2016-08-28-13-00, 1.016635
2016-08-28-14-00, 1.015039
2016-08-28-15-00, 1.014301
2016-08-28-16-00, 1.013798
2016-08-28-17-00, 1.014808
2016-08-28-18-00, 1.004862
2016-08-28-19-00, 1.004708
2016-08-28-20-00, 1.004288
2016-08-28-21-00, 1.005831
2016-08-28-22-00, 1.006169
2016-08-28-23-00, 1.005801
2016-08-29-00-00, 0.985803
2016-08-29-01-00, 0.984366
2016-08-29-02-00, 0.985930
2016-08-29-03-00, 0.986828
2016-08-29-04-00, 0.986707
2016-08-29-05-00, 0.986520
2016-08-29-06-00, 1.015384
2016-08-29-07-00, 1.015256
2016-08-29-08-00, 1.013657
2016-08-29-09-00, 1.014414
2016-08-29-10-00, 1.013624
2016-08-29-11-00, 1.014371
2016-08-29-12-00, 0.999837
2016-08-29-13-00, 1.000269
2016-08-29-14-00, 1.000848
2016-08-29-15-00, 0.999667
2016-08-29-16-00, 0.999128
2016-08-29-17-00, 0.999795
2016-08-29-18-00, 0.959975
2016-08-29-19-00, 0.959466
2016-08-29-20-00, 0.958748
2016-08-29-21-00, 0.957165
2016-08-29-22-00, 0.956083
2016-08-29-23-00, 0.957683
2016-08-30-00-00, 0.948595
2016-08-30-01-00, 0.951307
2016-08-30-02-00, 0.949574
2016-08-30-03-00, 0.948291
2016-08-30-04-00, 0.948108
2016-08-30-05-00, 0.955463
2016-08-30-06-00, 0.970830
2016-08-30-07-00, 0.969440
2016-08-30-08-00, 0.970845
2016-08-30-09-00, 0.971128
2016-08-30-10-00, 0.971422
2016-08-30-11-00, 0.970213
2016-08-30-12-00, 0.948274
2016-08-30-13-00, 0.947342
2016-08-30-14-00, 0.947471
2016-08-30-15-00, 0.949662
2016-08-30-16-00, 0.948365
2016-08-30-17-00, 0.947108
2016-08-30-18-00, 0.942163
2016-08-30-19-00, 0.941449
2016-08-30-20-00, 0.941559
2016-08-30-21-00, 0.941499
2016-08-30-22-00, 0.942402
2016-08-30-23-00, 0.942696
2016-08-31-00-00, 0.925203
2016-08-31-01-00, 0.925385
2016-08-31-02-00, 0.921549
2016-08-31-03-00, 0.920612
2016-08-31-04-00, 0.922752
2016-08-31-05-00, 0.918853
2016-08-31-06-00, 0.917538
2016-08-31-07-00, 0.921440
2016-08-31-08-00, 0.921069
2016-08-31-09-00, 0.921099
2016-08-31-10-00, 0.918719
2016-08-31-11-00, 0.918715
2016-08-31-12-00, 0.901343
2016-08-31-13-00, 0.899368
2016-08-31-14-00, 0.899819
2016-08-31-15-00, 0.904340
2016-08-31-16-00, 0.900329
2016-08-31-17-00, 0.900450
2016-08-31-18-00, 0.949127
2016-08-31-19-00, 0.950871
2016-08-31-20-00, 0.951196
2016-08-31-21-00, 0.949716
2016-08-31-22-00, 0.948555
2016-08-31-23-00, 0.948027
2016-09-01-00-00, 1.006725
2016-09-01-01-00, 1.009093
2016-09-01-02-00, 1.008470
2016-09-01-03-00, 1.006429
2016-09-01-04-00, 1.006475
2016-09-01-05-00, 1.004272
2016-09-01-06-00, 0.942525
2016-09-01-07-00, 0.943809
2016-09-01-08-00, 0.941352
2016-09-01-09-00, 0.941318
2016-09-01-10-00, 0.943573
2016-09-01-11-00, 0.943559
2016-09-01-12-00, 0.942408
2016-09-01-13-00, 0.943870
2016-09-01-14-00, 0.943007
2016-09-01-15-00, 0.940791
2016-09-01-16-00, 0.942918
2016-09-01-17-00, 0.942379
2016-09-01-18-00, 1.010651
2016-09-01-19-00, 1.010438
2016-09-01-20-00, 1.009775
2016-09-01-21-00, 1.008898
2016-09-01-22-00, 1.009767
2016-09-01-23-00, 1.009754
2016-09-02-00-00, 1.068071
2016-09-02-01-00, 1.068797
2016-09-02-02-00, 1.066007
2016-09-02-03-00, 1.069264
2016-09-02-04-00, 1.068280
2016-09-02-05-00, 1.066799
2016-09-02-06-00, 1.081909
2016-09-02-07-00, 1.082062
2016-09-02-08-00, 1.082488
2016-09-02-09-00, 1.081645
2016-09-02-10-00, 1.083639
2016-09-02-11-00, 1.083480
2016-09-02-12-00, 1.092880
2016-09-02-13-00, 1.093974
2016-09-02-14-00, 1.094749
2016-09-02-15-00, 1.093477
2016-09-02-16-00, 1.092914
2016-09-02-17-00, 1.090785
2016-09-02-18-00, 1.076621
2016-09-02-19-00, 1.076608
2016-09-02-20-00, 1.075936
2016-09-02-21-00, 1.076162
2016-09-02-22-00, 1.077103
2016-09-02-23-00, 1.081724
2016-09-03-00-00, 1.031891
2016-09-03-01-00, 1.030564
2016-09-03-02-00, 1.026247
2016-09-03-03-00, 1.028912
2016-09-03-04-00, 1.027074
2016-09-03-05-00, 1.020101
2016-09-03-06-00, 1.053924
2016-09-03-07-00, 1.053628
2016-09-03-08-00, 1.058599
2016-09-03-09-00, 1.055053
2016-09-03-10-00, 1.058672
2016-09-03-11-00, 1.054829
2016-09-03-12-00, 1.034305
2016-09-03-13-00, 1.036790
2016-09-03-14-00, 1.038750
2016-09-03-15-00, 1.037794
2016-09-03-16-00, 1.037468
2016-09-03-17-00, 1.037452
2016-09-03-18-00, 1.025383
2016-09-03-19-00, 1.041111
2016-09-03-20-00, 1.053858
2016-09-03-21-00, 1.052084
2016-09-03-22-00, 1.052861
2016-09-03-23-00, 1.048679
2016-09-04-00-00, 1.044467
2016-09-04-01-00, 1.040015
2016-09-04-02-00, 1.044836
2016-09-04-03-00, 1.046535
2016-09-04-04-00, 1.043967
2016-09-04-05-00, 1.049658
2016-09-04-06-00, 1.009837
2016-09-04-07-00, 1.002153
2016-09-04-08-00, 1.004883
2016-09-04-09-00, 1.016610
2016-09-04-10-00, 1.016476
2016-09-04-11-00, 1.012746
2016-09-04-12-00, 1.060482
2016-09-04-13-00, 1.062023
2016-09-04-14-00, 1.060094
2016-09-04-15-00, 1.059346
2016-09-04-16-00, 1.065285
2016-09-04-17-00, 1.063763
2016-09-04-18-00, 1.051080
2016-09-04-19-00, 1.050870
2016-09-04-20-00, 1.050804
2016-09-04-21-00, 1.046794
2016-09-04-22-00, 1.049416
2016-09-04-23-00, 1.052417
2016-09-05-00-00, 1.101782
2016-09-05-01-00, 1.093831
2016-09-05-02-00, 1.096290
2016-09-05-03-00, 1.100198
2016-09-05-04-00, 1.100251
2016-09-05-05-00, 1.100912
2016-09-05-06-00, 1.083739
2016-09-05-07-00, 1.087420
2016-09-05-08-00, 1.081519
2016-09-05-09-00, 1.077627
2016-09-05-10-00, 1.082641
2016-09-05-11-00, 1.075644
2016-09-05-12-00, 1.137166
2016-09-05-13-00, 1.143537
2016-09-05-14-00, 1.142506
2016-09-05-15-00, 1.143656
2016-09-05-16-00, 1.140240
2016-09-05-17-00, 1.140219
2016-09-05-18-00, 1.106522
2016-09-05-19-00, 1.107855
2016-09-05-20-00, 1.107859
2016-09-05-21-00, 1.107646
2016-09-05-22-00, 1.114733
2016-09-05-23-00, 1.108767
2016-09-06-00-00, 0.548226
2016-09-06-01-00, 0.545691
2016-09-06-02-00, 0.547400
2016-09-06-03-00, 0.547514
2016-09-06-04-00, 0.552860
2016-09-06-05-00, 0.546467
2016-09-06-06-00, 1.100511
2016-09-06-07-00, 1.100387
2016-09-06-08-00, 1.098541
2016-09-06-09-00, 1.098136
2016-09-06-10-00, 1.099611
2016-09-06-11-00, 1.100394
2016-09-06-12-00, 1.094613
2016-09-06-13-00, 1.095625
2016-09-06-14-00, 1.092806
2016-09-06-15-00, 1.093163
2016-09-06-16-00, 1.091842
2016-09-06-17-00, 1.092283
2016-09-06-18-00, 1.104436
2016-09-06-19-00, 1.108496
2016-09-06-20-00, 1.110421
2016-09-06-21-00, 1.109113
2016-09-06-22-00, 1.109533
2016-09-06-23-00, 1.107551
2016-09-07-00-00, 1.103518
2016-09-07-01-00, 1.100767
2016-09-07-02-00, 1.105924
2016-09-07-03-00, 1.102651
2016-09-07-04-00, 1.098846
2016-09-07-05-00, 1.099228
2016-09-07-06-00, 1.099677
2016-09-07-07-00, 1.097851
2016-09-07-08-00, 1.098633
2016-09-07-09-00, 1.098861
2016-09-07-10-00, 1.099709
2016-09-07-11-00, 1.101844
2016-09-07-12-00, 1.103718
2016-09-07-13-00, 1.104062
2016-09-07-14-00, 1.103216
2016-09-07-15-00, 1.106529
2016-09-07-16-00, 1.103510
2016-09-07-17-00, 1.106552
2016-09-07-18-00, 1.103913
2016-09-07-19-00, 1.104411
2016-09-07-20-00, 1.104420
2016-09-07-21-00, 1.104381
2016-09-07-22-00, 1.103963
2016-09-07-23-00, 1.103985
2016-09-08-00-00, 1.105876
2016-09-08-01-00, 1.102756
2016-09-08-02-00, 1.103644
2016-09-08-03-00, 1.126263
2016-09-08-04-00, 1.104328
2016-09-08-05-00, 1.103826
2016-09-08-06-00, 1.113827
2016-09-08-07-00, 1.113598
2016-09-08-08-00, 1.121871
2016-09-08-09-00, 1.131515
2016-09-08-10-00, 1.128448
2016-09-08-11-00, 1.126548
2016-09-08-12-00, 1.121283
2016-09-08-13-00, 1.120275
2016-09-08-14-00, 1.118835
2016-09-08-15-00, 1.120688
2016-09-08-16-00, 1.117532
2016-09-08-17-00, 1.114911
2016-09-08-18-00, 1.107115
2016-09-08-19-00, 1.107791
2016-09-08-20-00, 1.106916
2016-09-08-21-00, 1.107758
2016-09-08-22-00, 1.106929
2016-09-08-23-00, 1.114059
2016-09-09-00-00, 1.074715
2016-09-09-01-00, 1.071634
2016-09-09-02-00, 1.069412
2016-09-09-03-00, 1.068979
2016-09-09-04-00, 1.067347
2016-09-09-05-00, 1.068636
2016-09-09-06-00, 1.071443
2016-09-09-07-00, 1.065538
2016-09-09-08-00, 1.071247
2016-09-09-09-00, 1.069912
2016-09-09-10-00, 1.068941
2016-09-09-11-00, 1.067826
2016-09-09-12-00, 1.047823
2016-09-09-13-00, 1.047384
2016-09-09-14-00, 1.047678
2016-09-09-15-00, 1.047366
2016-09-09-16-00, 1.046834
2016-09-09-17-00, 1.045227
2016-09-09-18-00, 1.071796
2016-09-09-19-00, 1.073410
2016-09-09-20-00, 1.074488
2016-09-09-21-00, 1.075278
2016-09-09-22-00, 1.075075
2016-09-09-23-00, 1.075621
2016-09-10-00-00, 1.060983
2016-09-10-01-00, 1.065137
2016-09-10-02-00, 1.063900
2016-09-10-03-00, 1.061091
2016-09-10-04-00, 1.061817
2016-09-10-05-00, 1.064753
2016-09-10-06-00, 1.091697
2016-09-10-07-00, 1.092990
2016-09-10-08-00, 1.090778
2016-09-10-09-00, 1.092122
2016-09-10-10-00, 1.094137
2016-09-10-11-00, 1.092235
2016-09-10-12-00, 1.082593
2016-09-10-13-00, 1.081065
2016-09-10-14-00, 1.078546
2016-09-10-15-00, 1.080478
2016-09-10-16-00, 1.077692
2016-09-10-17-00, 1.083852
2016-09-10-18-00, 1.064137
2016-09-10-19-00, 1.065072
2016-09-10-20-00, 1.065322
2016-09-10-21-00, 1.064226
2016-09-10-22-00, 1.065289
2016-09-10-23-00, 1.063121
2016-09-11-00-00, 1.045216
2016-09-11-01-00, 1.044913
2016-09-11-02-00, 1.047596
2016-09-11-03-00, 1.047465
2016-09-11-04-00, 1.045953
2016-09-11-05-00, 1.047452
2016-09-11-06-00, 1.038990
2016-09-11-07-00, 1.038784
2016-09-11-08-00, 1.037435
2016-09-11-09-00, 1.036262
2016-09-11-10-00, 1.037090
2016-09-11-11-00, 1.038982
2016-09-11-12-00, 1.013884
2016-09-11-13-00, 1.013132
2016-09-11-14-00, 1.013322
2016-09-11-15-00, 1.013481
2016-09-11-16-00, 1.013987
2016-09-11-17-00, 1.012618
2016-09-11-18-00, 1.028336
2016-09-11-19-00, 1.003475
2016-09-11-20-00, 0.997817
2016-09-11-21-00, 0.997135
2016-09-11-22-00, 1.002603
2016-09-11-23-00, 1.005978
2016-09-12-00-00, 0.997029
2016-09-12-01-00, 0.996301
2016-09-12-02-00, 0.994695
2016-09-12-03-00, 0.994687
2016-09-12-04-00, 1.001352
2016-09-12-05-00, 0.998449
2016-09-12-06-00, 1.005481
2016-09-12-07-00, 1.000808
2016-09-12-08-00, 1.002248
2016-09-12-09-00, 0.998372
2016-09-12-10-00, 0.999064
2016-09-12-11-00, 0.999536
2016-09-12-12-00, 0.985780
2016-09-12-13-00, 0.986010
2016-09-12-14-00, 0.985403
2016-09-12-15-00, 0.985484
2016-09-12-16-00, 0.984095
2016-09-12-17-00, 0.984210
2016-09-12-18-00, 0.990143
2016-09-12-19-00, 0.987650
2016-09-12-20-00, 0.987939
2016-09-12-21-00, 0.989546
2016-09-12-22-00, 0.988591
2016-09-12-23-00, 0.991286
2016-09-13-00-00, 0.989354
2016-09-13-01-00, 0.992050
2016-09-13-02-00, 0.991541
2016-09-13-03-00, 0.989005
2016-09-13-04-00, 0.992061
2016-09-13-05-00, 0.992216
2016-09-13-06-00, 1.004477
2016-09-13-07-00, 1.004204
2016-09-13-08-00, 0.997948
2016-09-13-09-00, 1.001551
2016-09-13-10-00, 0.999692
2016-09-13-11-00, 0.999915
2016-09-13-12-00, 0.997021
2016-09-13-13-00, 0.997938
2016-09-13-14-00, 0.995291
2016-09-13-15-00, 0.993667
2016-09-13-16-00, 0.993387
2016-09-13-17-00, 0.995024
2016-09-13-18-00, 0.987718
2016-09-13-19-00, 0.984177
2016-09-13-20-00, 0.980538
2016-09-13-21-00, 0.983670
2016-09-13-22-00, 0.980418
2016-09-13-23-00, 0.980277
2016-09-14-00-00, 0.971904
2016-09-14-01-00, 0.976802
2016-09-14-02-00, 0.974898
2016-09-14-03-00, 0.982055
2016-09-14-04-00, 0.978122
2016-09-14-05-00, 0.979005
2016-09-14-06-00, 0.959032
2016-09-14-07-00, 0.956888
2016-09-14-08-00, 0.956761
2016-09-14-09-00, 0.959704
2016-09-14-10-00, 0.958406
2016-09-14-11-00, 0.957858
2016-09-14-12-00, 0.961992
2016-09-14-13-00, 0.960853
2016-09-14-14-00, 0.960713
2016-09-14-15-00, 0.961394
2016-09-14-16-00, 0.961147
2016-09-14-17-00, 0.963460
2016-09-14-18-00, 0.966801
2016-09-14-19-00, 0.966763
2016-09-14-20-00, 0.964785
2016-09-14-21-00, 0.966157
2016-09-14-22-00, 0.965090
2016-09-14-23-00, 0.961524
2016-09-15-00-00, 0.972451
2016-09-15-01-00, 0.970858
2016-09-15-02-00, 0.969593
2016-09-15-03-00, 0.970006
2016-09-15-04-00, 0.970021
2016-09-15-05-00, 0.970715
2016-09-15-06-00, 0.976631
2016-09-15-07-00, 0.979275
2016-09-15-08-00, 0.980757
2016-09-15-09-00, 0.980372
2016-09-15-10-00, 0.978639
2016-09-15-11-00, 0.983441
2016-09-15-12-00, 0.982993
2016-09-15-13-00, 0.982192
2016-09-15-14-00, 0.982719
2016-09-15-15-00, 0.982182
2016-09-15-16-00, 0.978326
2016-09-15-17-00, 0.978974
2016-09-15-18-00, 0.965504
2016-09-15-19-00, 0.967247
2016-09-15-20-00, 0.966310
2016-09-15-21-00, 0.964622
2016-09-15-22-00, 0.965489
2016-09-15-23-00, 0.968630
2016-09-16-00-00, 1.002582
2016-09-16-01-00, 1.004225
2016-09-16-02-00, 1.006049
2016-09-16-03-00, 1.004065
2016-09-16-04-00, 1.004501
2016-09-16-05-00, 1.001853
2016-09-16-06-00, 0.984251
2016-09-16-07-00, 0.984878
2016-09-16-08-00, 0.984186
2016-09-16-09-00, 0.982093
2016-09-16-10-00, 0.983427
2016-09-16-11-00, 0.983728
2016-09-16-12-00, 0.992743
2016-09-16-13-00, 0.993704
2016-09-16-14-00, 0.993838
2016-09-16-15-00, 0.991922
2016-09-16-16-00, 0.989874
2016-09-16-17-00, 0.991126
2016-09-16-18-00, 1.014398
2016-09-16-19-00, 1.015724
2016-09-16-20-00, 1.015425
2016-09-16-21-00, 1.014478
2016-09-16-22-00, 1.014041
2016-09-16-23-00, 1.014006
2016-09-17-00-00, 1.025102
2016-09-17-01-00, 1.022306
2016-09-17-02-00, 1.030027
2016-09-17-03-00, 1.032546
2016-09-17-04-00, 1.032218
2016-09-17-05-00, 1.032876
2016-09-17-06-00, 1.006085
2016-09-17-07-00, 1.003284
2016-09-17-08-00, 1.004111
2016-09-17-09-00, 1.003468
2016-09-17-10-00, 1.001915
2016-09-17-11-00, 1.003947
2016-09-17-12-00, 1.019691
2016-09-17-13-00, 1.018094
2016-09-17-14-00, 1.016761
2016-09-17-15-00, 1.016035
2016-09-17-16-00, 1.014945
2016-09-17-17-00, 1.015631
2016-09-17-18-00, 1.011504
2016-09-17-19-00, 1.011727
2016-09-17-20-00, 1.010614
2016-09-17-21-00, 1.010626
2016-09-17-22-00, 1.011855
2016-09-17-23-00, 1.012786
2016-09-18-00-00, 1.019670
2016-09-18-01-00, 1.019717
2016-09-18-02-00, 1.019046
2016-09-18-03-00, 1.018790
2016-09-18-04-00, 1.018217
2016-09-18-05-00, 1.017285
2016-09-18-06-00, 1.033668
2016-09-18-07-00, 1.032612
2016-09-18-08-00, 1.036143
2016-09-18-09-00, 1.034321
2016-09-18-10-00, 1.038272
2016-09-18-11-00, 1.038197
2016-09-18-12-00, 1.021909
2016-09-18-13-00, 1.022745
2016-09-18-14-00, 1.023254
2016-09-18-15-00, 1.022712
2016-09-18-16-00, 1.023710
2016-09-18-17-00, 1.021813
2016-09-18-18-00, 1.027294
2016-09-18-19-00, 1.028306
2016-09-18-20-00, 1.029328
2016-09-18-21-00, 1.026920
2016-09-18-22-00, 1.026428
2016-09-18-23-00, 1.027639
2016-09-19-00-00, 0.997836
2016-09-19-01-00, 0.998868
2016-09-19-02-00, 0.999833
2016-09-19-03-00, 0.993665
2016-09-19-04-00, 0.994342
2016-09-19-05-00, 0.997570
2016-09-19-06-00, 0.000000
2016-09-19-07-00, 0.000000
2016-09-19-08-00, 0.000000
2016-09-19-09-00, 0.000000
2016-09-19-10-00, 0.000000
2016-09-19-11-00, 0.000000
2016-09-19-12-00, 1.006853
2016-09-19-13-00, 1.008973
2016-09-19-14-00, 1.006870
2016-09-19-15-00, 1.006641
2016-09-19-16-00, 1.005210
2016-09-19-17-00, 1.008693
2016-09-19-18-00, 0.993279
2016-09-19-19-00, 0.993541
2016-09-19-20-00, 0.994117
2016-09-19-21-00, 0.992973
2016-09-19-22-00, 0.993548
2016-09-19-23-00, 0.993456
2016-09-20-00-00, 0.973842
2016-09-20-01-00, 0.976380
2016-09-20-02-00, 0.974501
2016-09-20-03-00, 0.973929
2016-09-20-04-00, 0.974145
2016-09-20-05-00, 0.972253
2016-09-20-06-00, 0.976522
2016-09-20-07-00, 0.974057
2016-09-20-08-00, 0.973955
2016-09-20-09-00, 0.976094
2016-09-20-10-00, 0.975429
2016-09-20-11-00, 0.975082
2016-09-20-12-00, 0.960414
2016-09-20-13-00, 0.959705
2016-09-20-14-00, 0.959136
2016-09-20-15-00, 0.959612
2016-09-20-16-00, 0.960593
2016-09-20-17-00, 0.958563
2016-09-20-18-00, 0.963303
2016-09-20-19-00, 0.964382
2016-09-20-20-00, 0.964435
2016-09-20-21-00, 0.964489
2016-09-20-22-00, 0.964787
2016-09-20-23-00, 0.962131
2016-09-21-00-00, 0.941854
2016-09-21-01-00, 0.942660
2016-09-21-02-00, 0.943978
2016-09-21-03-00, 0.943631
2016-09-21-04-00, 0.950125
2016-09-21-05-00, 0.940803
2016-09-21-06-00, 0.950581
2016-09-21-07-00, 0.951119
2016-09-21-08-00, 0.951375
2016-09-21-09-00, 0.951292
2016-09-21-10-00, 0.951248
2016-09-21-11-00, 0.950151
2016-09-21-12-00, 0.962551
2016-09-21-13-00, 0.961728
2016-09-21-14-00, 0.960737
2016-09-21-15-00, 0.960636
2016-09-21-16-00, 0.960308
2016-09-21-17-00, 0.960094
2016-09-21-18-00, 0.966517
2016-09-21-19-00, 0.966758
2016-09-21-20-00, 0.968062
2016-09-21-21-00, 0.967234
2016-09-21-22-00, 0.969025
2016-09-21-23-00, 0.968682
2016-09-22-00-00, 0.948961
2016-09-22-01-00, 0.949286
2016-09-22-02-00, 0.947686
2016-09-22-03-00, 0.950137
2016-09-22-04-00, 0.948379
2016-09-22-05-00, 0.947538
2016-09-22-06-00, 0.903512
2016-09-22-07-00, 0.903619
2016-09-22-08-00, 0.904164
2016-09-22-09-00, 0.904047
2016-09-22-10-00, 0.904266
2016-09-22-11-00, 0.904432
2016-09-22-12-00, 0.901562
2016-09-22-13-00, 0.901289
2016-09-22-14-00, 0.901512
2016-09-22-15-00, 0.901133
2016-09-22-16-00, 0.900540
2016-09-22-17-00, 0.900022
2016-09-22-18-00, 0.960337
2016-09-22-19-00, 0.959949
2016-09-22-20-00, 0.959274
2016-09-22-21-00, 0.959674
2016-09-22-22-00, 0.959208
2016-09-22-23-00, 0.958882
2016-09-23-00-00, 0.960894
2016-09-23-01-00, 0.960760
2016-09-23-02-00, 0.962211
2016-09-23-03-00, 0.961907
2016-09-23-04-00, 0.961287
2016-09-23-05-00, 0.960582
2016-09-23-06-00, 0.986282
2016-09-23-07-00, 0.983871
2016-09-23-08-00, 0.986837
2016-09-23-09-00, 0.987499
2016-09-23-10-00, 0.986952
2016-09-23-11-00, 0.988897
2016-09-23-12-00, 0.975690
2016-09-23-13-00, 0.976444
2016-09-23-14-00, 0.974669
2016-09-23-15-00, 0.977606
2016-09-23-16-00, 0.978035
2016-09-23-17-00, 0.979287
2016-09-23-18-00, 0.949276
2016-09-23-19-00, 0.949687
2016-09-23-20-00, 0.949313
2016-09-23-21-00, 0.950080
2016-09-23-22-00, 0.950095
2016-09-23-23-00, 0.950315
2016-09-24-00-00, 0.961444
2016-09-24-01-00, 0.961747
2016-09-24-02-00, 0.961393
2016-09-24-03-00, 0.964211
2016-09-24-04-00, 0.963373
2016-09-24-05-00, 0.963333
2016-09-24-06-00, 0.955327
2016-09-24-07-00, 0.954656
2016-09-24-08-00, 0.954694
2016-09-24-09-00, 0.953751
2016-09-24-10-00, 0.956010
2016-09-24-11-00, 0.955855
2016-09-24-12-00, 0.957664
2016-09-24-13-00, 0.958725
2016-09-24-14-00, 0.955007
2016-09-24-15-00, 0.956171
2016-09-24-16-00, 0.954860
2016-09-24-17-00, 0.954899
2016-09-24-18-00, 0.943291
2016-09-24-19-00, 0.946059
2016-09-24-20-00, 0.945581
2016-09-24-21-00, 0.945818
2016-09-24-22-00, 0.945407
2016-09-24-23-00, 0.945003
2016-09-25-00-00, 0.950624
2016-09-25-01-00, 0.950332
2016-09-25-02-00, 0.951503
2016-09-25-03-00, 0.951651
2016-09-25-04-00, 0.950463
2016-09-25-05-00, 0.948204
2016-09-25-06-00, 0.961753
2016-09-25-07-00, 0.960767
2016-09-25-08-00, 0.961579
2016-09-25-09-00, 0.962288
2016-09-25-10-00, 0.962957
2016-09-25-11-00, 0.961872
2016-09-25-12-00, 0.951684
2016-09-25-13-00, 0.949512
2016-09-25-14-00, 0.946820
2016-09-25-15-00, 0.947476
2016-09-25-16-00, 0.946000
2016-09-25-17-00, 0.946613
2016-09-25-18-00, 0.940139
2016-09-25-19-00, 0.939490
2016-09-25-20-00, 0.941118
2016-09-25-21-00, 0.940246
2016-09-25-22-00, 0.940922
2016-09-25-23-00, 0.940015
2016-09-26-00-00, 0.925948
2016-09-26-01-00, 0.927910
2016-09-26-02-00, 0.926086
2016-09-26-03-00, 0.927659
2016-09-26-04-00, 0.926429
2016-09-26-05-00, 0.926674
2016-09-26-06-00, 0.929818
2016-09-26-07-00, 0.931538
2016-09-26-08-00, 0.935820
2016-09-26-09-00, 0.937810
2016-09-26-10-00, 0.938091
2016-09-26-11-00, 0.937177
2016-09-26-12-00, 0.935143
2016-09-26-13-00, 0.934346
2016-09-26-14-00, 0.933621
2016-09-26-15-00, 0.935110
2016-09-26-16-00, 0.937488
2016-09-26-17-00, 0.933888
2016-09-26-18-00, 0.925143
2016-09-26-19-00, 0.923105
2016-09-26-20-00, 0.924754
2016-09-26-21-00, 0.924643
2016-09-26-22-00, 0.924400
2016-09-26-23-00, 0.924347
2016-09-27-00-00, 0.916292
2016-09-27-01-00, 0.918003
2016-09-27-02-00, 0.913957
2016-09-27-03-00, 0.913882
2016-09-27-04-00, 0.915596
2016-09-27-05-00, 0.914012
2016-09-27-06-00, 0.907231
2016-09-27-07-00, 0.906744
2016-09-27-08-00, 0.906335
2016-09-27-09-00, 0.906720
2016-09-27-10-00, 0.904210
2016-09-27-11-00, 0.904495
2016-09-27-12-00, 0.911882
2016-09-27-13-00, 0.913637
2016-09-27-14-00, 0.914243
2016-09-27-15-00, 0.913882
2016-09-27-16-00, 0.915193
2016-09-27-17-00, 0.915570
2016-09-27-18-00, 0.910767
2016-09-27-19-00, 0.910918
2016-09-27-20-00, 0.910059
2016-09-27-21-00, 0.908689
2016-09-27-22-00, 0.908861
2016-09-27-23-00, 0.909924
2016-09-28-00-00, 0.939430
2016-09-28-01-00, 0.937939
2016-09-28-02-00, 0.944727
2016-09-28-03-00, 0.938284
2016-09-28-04-00, 0.937843
2016-09-28-05-00, 0.935642
2016-09-28-06-00, 0.966963
2016-09-28-07-00, 0.967242
2016-09-28-08-00, 0.965893
2016-09-28-09-00, 0.968198
2016-09-28-10-00, 0.968473
2016-09-28-11-00, 0.968035
2016-09-28-12-00, 0.957625
2016-09-28-13-00, 0.957542
2016-09-28-14-00, 0.956367
2016-09-28-15-00, 0.957366
2016-09-28-16-00, 0.956773
2016-09-28-17-00, 0.956417
2016-09-28-18-00, 0.948246
2016-09-28-19-00, 0.947954
2016-09-28-20-00, 0.948614
2016-09-28-21-00, 0.948707
2016-09-28-22-00, 0.948011
2016-09-28-23-00, 0.947491
2016-09-29-00-00, 0.970272
2016-09-29-01-00, 0.970869
2016-09-29-02-00, 0.970375
2016-09-29-03-00, 0.970124
2016-09-29-04-00, 0.971314
2016-09-29-05-00, 0.971371
2016-09-29-06-00, 0.951346
2016-09-29-07-00, 0.951205
2016-09-29-08-00, 0.952522
2016-09-29-09-00, 0.952232
2016-09-29-10-00, 0.950610
2016-09-29-11-00, 0.952640
2016-09-29-12-00, 0.948225
2016-09-29-13-00, 0.948766
2016-09-29-14-00, 0.947335
2016-09-29-15-00, 0.949668
2016-09-29-16-00, 0.949425
2016-09-29-17-00, 0.949236
2016-09-29-18-00, 0.953796
2016-09-29-19-00, 0.953623
2016-09-29-20-00, 0.953867
2016-09-29-21-00, 0.954110
2016-09-29-22-00, 0.954651
2016-09-29-23-00, 0.952892
2016-09-30-00-00, 0.969740
2016-09-30-01-00, 0.969939
2016-09-30-02-00, 0.970186
2016-09-30-03-00, 0.970102
2016-09-30-04-00, 0.969173
2016-09-30-05-00, 0.969060
2016-09-30-06-00, 0.962059
2016-09-30-07-00, 0.961383
2016-09-30-08-00, 0.962292
2016-09-30-09-00, 0.962046
2016-09-30-10-00, 0.962644
2016-09-30-11-00, 0.962358
2016-09-30-12-00, 0.963110
2016-09-30-13-00, 0.963936
2016-09-30-14-00, 0.963414
2016-09-30-15-00, 0.963152
2016-09-30-16-00, 0.963627
2016-09-30-17-00, 0.964504
2016-09-30-18-00, 0.964920
2016-09-30-19-00, 0.964012
2016-09-30-20-00, 0.962892
2016-09-30-21-00, 0.964995
2016-09-30-22-00, 0.967436
2016-09-30-23-00, 0.967505
2016-10-01-00-00, 0.943484
2016-10-01-01-00, 0.945408
2016-10-01-02-00, 0.944867
2016-10-01-03-00, 0.942493
2016-10-01-04-00, 0.942586
2016-10-01-05-00, 0.944939
2016-10-01-06-00, 0.966308
2016-10-01-07-00, 0.965960
2016-10-01-08-00, 0.965926
2016-10-01-09-00, 0.966616
2016-10-01-10-00, 0.966225
2016-10-01-11-00, 0.968054
2016-10-01-12-00, 0.944821
2016-10-01-13-00, 0.945043
2016-10-01-14-00, 0.944595
2016-10-01-15-00, 0.945933
2016-10-01-16-00, 0.946843
